Types,Error,Group,Spent time
PP,0.036213412322103976,1,1.7265850000000005
PP,0.03554389793425798,2,1.818845
PP,0.042349246144294736,3,1.5598250000000002
PP,0.0440021613612771,4,1.4380600000000001
PP,0.039964056201279165,5,1.663485
Ad(PD),0.03671785211190581,1,1.7270650000000003
Ad(PD),0.036457826104015115,2,1.769645
Ad(PD),0.04166109804064035,3,1.5480549999999997
Ad(PD),0.04524812269955873,4,1.3885450000000001
Ad(PD),0.03923393059521914,5,1.7058399999999998
Ad(Ac),0.03317748717963696,1,1.8710200000000001
Ad(Ac),0.03516003731638193,2,1.83842
Ad(Ac),0.037885233759880066,3,1.713745
Ad(Ac),0.04347424488514662,4,1.422005
Ad(Ac),0.03825547760352492,5,1.7323650000000002
Bi,0.03130124714225531,1,1.9224850000000004
Bi,0.03188377376645803,2,1.91384
Bi,0.0379682470113039,3,1.6889350000000003
Bi,0.043454195559024814,4,1.39246
Bi,0.03379842322319746,5,1.8678350000000001
