condition,Period,RMSE,T2T,MAF,Ine,Group
PP,1,0.039728432344817335,1.3902,4.113333803929672,0.48957215361126727,Group 1
PP,2,0.030570525060993774,1.0754000000000001,4.5070195779443925,0.4718832699603064,Group 1
PP,3,0.038993912252508256,1.2568000000000001,4.835942781504867,0.5695470672472634,Group 1
PP,4,0.030626161671387188,1.1497,4.380115854054041,0.43384584837756157,Group 1
PP,5,0.04129413440621769,1.3212000000000002,4.722554939758732,0.8577712239997707,Group 1
PP,6,0.03254089265918786,1.2386000000000001,3.907221240383798,0.6999587543288602,Group 1
PP,7,0.03812256275004086,1.2921,4.258530278623855,0.33602290090180603,Group 1
PP,8,0.03497066731165008,1.2642,3.2595663404740827,0.5425826877042956,Group 1
PP,9,0.036575815713603514,1.3339,4.6371592293107184,1.6818014155367067,Group 1
PP,10,0.03664253974322928,1.2775,3.7409756714546405,0.47928609008250883,Group 1
PP,11,0.03778520549598616,1.3822,3.763190336991745,0.45696573423230935,Group 1
PP,12,0.03832158893402666,1.3282,3.2874342899752076,0.20772250587890811,Group 1
PP,13,0.03437562742858718,1.2516,3.682138829817607,0.4936906847111723,Group 1
PP,14,0.0396615483281125,1.3389,4.339321250351897,0.8418750637758176,Group 1
PP,15,0.03604763880824515,1.2953000000000001,3.569181114490498,0.7148872335140759,Group 1
PP,16,0.03397802984291144,1.2212,3.709411122995625,0.6034066540468802,Group 1
PP,17,0.03427926225564055,1.2086000000000001,3.8099680845398,0.7678537155255845,Group 1
PP,18,0.03798141388985871,1.3464,4.269540042046945,0.6435390249685884,Group 1
PP,19,0.03189784677081431,1.1368,4.188880224832469,0.509378669141589,Group 1
PP,20,0.039874446991148095,1.3595000000000002,3.9479281660410246,0.8850416029982041,Group 1
PP,1,0.039124675269604996,1.4036,5.1389354707075485,1.6993016016534093,Group 2
PP,2,0.038975400289928075,1.3325,6.167735673267068,2.3410388489520093,Group 2
PP,3,0.03344823572978688,1.2214,7.436016637436187,3.298502821295398,Group 2
PP,4,0.03853587633549856,1.2205000000000001,8.312751105799498,4.031201215411367,Group 2
PP,5,0.03695721241267359,1.2883,7.5826443471819,3.6753104306277287,Group 2
PP,6,0.029509249718355324,0.9832000000000001,7.471438392439859,2.8973547712656726,Group 2
PP,7,0.033278077588176046,1.1654,8.119540084816354,3.74458580762659,Group 2
PP,8,0.03689707423906851,1.1009,6.829774765004757,2.2854132220099763,Group 2
PP,9,0.03740845603813262,1.1507,7.9716473031155255,3.5453201568719335,Group 2
PP,10,0.04048119924894224,1.2324000000000002,6.669920595514006,2.6192465803550644,Group 2
PP,11,0.03218913070724035,1.1223,6.850686339823379,1.8562459581129553,Group 2
PP,12,0.03449552750025953,1.1834,5.8631128886196295,1.8242503085860386,Group 2
PP,13,0.03997504797183598,1.2619,6.65675927147821,2.517705934363522,Group 2
PP,14,0.03761545417507878,1.2735,6.292424844827356,1.9848503222565206,Group 2
PP,15,0.036040198239065166,1.1067,7.250296338407181,2.700429725746785,Group 2
PP,16,0.03234739845896256,1.1318000000000001,6.6621413578353845,2.3303756824439525,Group 2
PP,17,0.031295340380611984,1.105,7.09555135668002,2.6899523787041293,Group 2
PP,18,0.031554466141201554,1.0530000000000002,7.035501444505077,2.576059184630649,Group 2
PP,19,0.0349938965352354,1.0989,6.338242062137772,2.179687871075142,Group 2
PP,20,0.03575602786649251,1.1877,7.046331312264809,2.5385803516749124,Group 2
PP,1,0.04534896377094544,1.6840000000000002,5.4347728694782,2.480772549547334,Group 3
PP,2,0.0529925890308475,1.7342000000000002,5.4681285091922,2.228458576206131,Group 3
PP,3,0.04845961312333432,1.5368000000000002,5.0691508608338856,1.69216234200202,Group 3
PP,4,0.034722156041368725,1.2761,5.297058598744796,2.218207262635787,Group 3
PP,5,0.04621099695318116,1.4856,5.551094976503282,1.9702247081383393,Group 3
PP,6,0.05562005959075565,1.7255,5.647321518063415,2.050419577738823,Group 3
PP,7,0.03429383563377196,1.1559000000000001,5.272643096002248,1.7537457265741168,Group 3
PP,8,0.039646689280301024,1.3975,5.9947837927244825,2.27756766708085,Group 3
PP,9,0.043088237327799046,1.4317,6.296993990492907,2.5946806642358085,Group 3
PP,10,0.03922354455481788,1.3862,6.517493017710415,2.763744278709733,Group 3
PP,11,0.035749991128166826,1.2977,6.150720488209146,2.593053207143581,Group 3
PP,12,0.04301605832557931,1.5705,5.569792587857625,1.640851101236724,Group 3
PP,13,0.0448123354202602,1.5711000000000002,4.736814150998987,1.984921119959058,Group 3
PP,14,0.04609375813457494,1.4616,5.892551118575968,2.6760064640916332,Group 3
PP,15,0.040248846241886106,1.3724,5.032779680338964,2.434024551866792,Group 3
PP,16,0.038468973428476605,1.2973000000000001,7.321058550813713,3.3633761330346004,Group 3
PP,17,0.04176386016785012,1.2933000000000001,6.595281140749228,2.5139585977636525,Group 3
PP,18,0.03957038131824811,1.3681,5.422216998588308,1.69937637312133,Group 3
PP,19,0.0309872395645439,1.1645,6.093183756241937,1.2515567885836736,Group 3
PP,20,0.04666679633765792,1.5935000000000001,6.776334793120008,2.688963689368967,Group 3
PP,1,0.04154297596071871,1.3713,5.262914003139813,1.03862135938248,Group 4
PP,2,0.03751151055524048,1.2981,5.638546775267861,1.135463965777463,Group 4
PP,3,0.051230550659898046,1.6944000000000001,5.461297335364155,1.4232774285009668,Group 4
PP,4,0.03723108545992291,1.2981,6.527010288479765,2.1887880757462086,Group 4
PP,5,0.04653120993704846,1.4325,6.799603483487609,1.720791001804103,Group 4
PP,6,0.04474258455447853,1.4688,7.727134371639003,3.8526570145765406,Group 4
PP,7,0.038077626427154364,1.3582,7.607412094271185,3.347733692829167,Group 4
PP,8,0.04925551968989894,1.5791000000000002,7.138937394858204,3.0501305822169202,Group 4
PP,9,0.04198347118239229,1.3965,6.898276165222732,2.9219249119904736,Group 4
PP,10,0.04171265957248397,1.4893,6.67499507901302,3.459447488612375,Group 4
PP,11,0.04425583600016156,1.5135,5.69924042635158,1.7269469745657378,Group 4
PP,12,0.052542640427344786,1.737,6.863611583712593,3.0083013291102336,Group 4
PP,13,0.05280618382690785,1.7781,6.060005521363416,2.6067662251836814,Group 4
PP,14,0.04417423642769766,1.5303,5.813134580523996,1.894467289215029,Group 4
PP,15,0.04054452772422616,1.4261000000000001,4.5003471425289865,1.3079619912420855,Group 4
PP,16,0.043974559425884706,1.5224,5.4099593399337556,1.945048351872027,Group 4
PP,17,0.048758689048482726,1.4077000000000002,5.4973040593889415,1.441914355585669,Group 4
PP,18,0.049406205798142276,1.5787,5.357593766845642,1.2172692402630685,Group 4
PP,19,0.03470943959528037,1.2157,5.378031734925946,1.4331858003870153,Group 4
PP,20,0.046090741022389074,1.5847,4.40996430172733,0.6927168941703069,Group 4
PP,1,0.041672644723890574,1.5221,4.459241606919422,2.1806977054837096,Group 5
PP,2,0.043049680687929505,1.5775000000000001,5.471136299858615,2.331606938108694,Group 5
PP,3,0.04691352720676611,1.6442,4.89380264290007,1.6940894709012853,Group 5
PP,4,0.04030397698339075,1.4103,6.359165519939551,2.509426593557287,Group 5
PP,5,0.03771552636915973,1.2835,7.698672765929035,3.340400426715108,Group 5
PP,6,0.0437376199538121,1.526,5.564442030877992,1.3091895270196117,Group 5
PP,7,0.04539767972116048,1.5671000000000002,6.904271522345487,3.447413037004652,Group 5
PP,8,0.03770231964402677,1.3205,4.848036119120075,1.8406955960337223,Group 5
PP,9,0.044324557105218994,1.4499,4.090741190257179,1.4580664384167288,Group 5
PP,10,0.043947927292550835,1.7283000000000002,5.275192595169162,1.9507898491368363,Group 5
PP,11,0.0399841579412828,1.4702000000000002,4.8547958144203225,2.153540554058191,Group 5
PP,12,0.04032471372168511,1.472,4.788168767599166,1.8400231399688511,Group 5
PP,13,0.04553065650464074,1.7630000000000001,3.13220178703425,0.5774179672059498,Group 5
PP,14,0.04898688796733817,1.6907,5.339832609627302,2.388220980328829,Group 5
PP,15,0.05097321623971996,1.8162,3.7942517749263223,1.099190581643705,Group 5
PP,16,0.05559130599123115,1.8723,6.036508088605588,3.1946678062352896,Group 5
PP,17,0.051439795425053066,1.7199,4.215957257485168,1.4890710032094432,Group 5
PP,18,0.0334787065915647,1.236,5.228970748557779,1.5796002489337868,Group 5
PP,19,0.04026909379114707,1.3920000000000001,4.409008740147717,1.085757205424191,Group 5
PP,20,0.04869924671004992,1.7771000000000001,5.195873628674644,1.4983897826084234,Group 5
PP,1,0.05024981713289987,1.6249,4.959276109455516,1.7241612152501606,Group 6
PP,2,0.046435097435318554,1.4458,5.2771236457566015,1.9413889550226178,Group 6
PP,3,0.04694703267772372,1.4744000000000002,6.238404090993433,1.8152712828259323,Group 6
PP,4,0.032209996034406746,1.173,6.301951397869821,2.167817418983637,Group 6
PP,5,0.03685916948041122,1.1316000000000002,6.935265427230736,3.0222994010354656,Group 6
PP,6,0.056346951149093605,1.5613000000000001,6.849854569526844,2.4171542678786917,Group 6
PP,7,0.04285735113612997,1.3593000000000002,6.565909177974335,1.3441165985598786,Group 6
PP,8,0.03530255159523804,1.1456,6.530055871115902,2.1419223273732317,Group 6
PP,9,0.03176793804434128,1.1166,7.4697667221613635,2.884909633488629,Group 6
PP,10,0.045553043138810125,1.4477,5.649989158657414,1.672206850536446,Group 6
PP,11,0.02794886509005446,1.0014,7.24976207480113,3.260779547051776,Group 6
PP,12,0.03446163401372032,1.0483,7.991008431516527,3.325907091817891,Group 6
PP,13,0.05313297586205105,1.5326000000000002,8.259357735319638,3.5795600091422495,Group 6
PP,14,0.03928495737470997,1.3106,7.883715337699878,2.8390216438366953,Group 6
PP,15,0.04581222757299741,1.3856000000000002,7.862172047534964,3.2646220169187963,Group 6
PP,16,0.02721598056825654,0.9476,7.604712476375243,2.5761034223333943,Group 6
PP,17,0.04298232173947617,1.2416,8.242124046597578,4.002029386739262,Group 6
PP,18,0.03378957823272794,1.0842,7.764439827397737,3.059899311033062,Group 6
PP,19,0.04305058603337966,1.298,8.247130333275043,4.022898558159244,Group 6
PP,20,0.038527905116416516,1.1896,7.325588302219835,3.4160662731212015,Group 6
PP,1,0.05078114355961661,1.6991,4.798755718350501,0.9919551505989157,Group 7
PP,2,0.03889629075145446,1.4578,8.204955069160112,4.109674396091633,Group 7
PP,3,0.03817837210088037,1.2955,8.722521832010994,4.871844145700579,Group 7
PP,4,0.03733542774990201,1.2911000000000001,9.002102028937593,4.411155411615856,Group 7
PP,5,0.03509586167645175,1.1159000000000001,8.629878841374559,3.701862921636949,Group 7
PP,6,0.03889412787505911,1.3344,8.83046019178211,5.031883320544607,Group 7
PP,7,0.040536780297740674,1.4388,7.32674656313783,3.8751650764814296,Group 7
PP,8,0.0335573599142037,1.1072,7.229953797959918,3.3986559812441075,Group 7
PP,9,0.03347346416947354,1.1064,6.507843846159469,2.747982679452756,Group 7
PP,10,0.035410296433636294,1.3052000000000001,8.157427220772828,3.688747215864762,Group 7
PP,11,0.03742682667668948,1.3409,6.579814293509709,2.2024803221702407,Group 7
PP,12,0.04086223308331682,1.423,7.7122129719418115,3.978264526003117,Group 7
PP,13,0.03363409379359218,1.1678,8.750591390615103,4.585873383236196,Group 7
PP,14,0.03982788164487974,1.373,7.562487183172887,3.129957317869602,Group 7
PP,15,0.03503006699463974,1.2061,7.706546401493829,4.0688534463239145,Group 7
PP,16,0.04318205538967935,1.4356,7.860582257529152,3.605987657117802,Group 7
PP,17,0.03809509794887466,1.2682,6.759816623845845,2.424687909372061,Group 7
PP,18,0.03648266032558555,1.2536,6.307799865361476,2.458362002142403,Group 7
PP,19,0.03417931208796023,1.2712,7.250574248603567,2.8652538216434706,Group 7
PP,20,0.040261626794283925,1.4348,8.454206687568425,4.377261381626091,Group 7
PP,1,0.048947465788115735,1.6632,5.331463382272431,2.1291499874886046,Group 8
PP,2,0.03974151514400728,1.3431,6.337731388917138,2.7656438764734292,Group 8
PP,3,0.05042542577186444,1.6685,7.088660366654214,3.578796660106632,Group 8
PP,4,0.04306938493043514,1.5387000000000002,5.043594167917429,1.8670363823315854,Group 8
PP,5,0.043472239428960405,1.4715,7.080311388533979,3.2092076696008958,Group 8
PP,6,0.04602551681194454,1.4833,6.206111872672837,2.513293756863199,Group 8
PP,7,0.0383779664144599,1.2736,6.8688470414073395,3.4191560196826982,Group 8
PP,8,0.04198191759675877,1.3781,6.981805389541516,2.4915105314300496,Group 8
PP,9,0.03385428050507035,1.0864,8.248103009552608,4.180347390165941,Group 8
PP,10,0.03238445988377789,1.1846,7.559469302288548,3.533745106299728,Group 8
