,Types,Error,Group,Spent time
0,PP,0.039728437,Group1,1.6098000000000001
1,PP,0.030570524,Group1,1.9246
2,PP,0.03899391,Group1,1.7432
3,PP,0.030626161,Group1,1.8503
4,PP,0.04129413,Group1,1.6788
5,PP,0.032540895,Group1,1.7614
6,PP,0.03812256,Group1,1.7079
7,PP,0.034970667,Group1,1.7358
8,PP,0.03657581,Group1,1.6661000000000001
9,PP,0.036642537,Group1,1.7225000000000001
10,PP,0.03778521,Group1,1.6178000000000001
11,PP,0.038321592,Group1,1.6718000000000002
12,PP,0.034375627,Group1,1.7484000000000002
13,PP,0.039661553,Group1,1.6611
14,PP,0.036047637,Group1,1.7047
15,PP,0.03397803,Group1,1.7788000000000002
16,PP,0.034279265,Group1,1.7914
17,PP,0.03798141,Group1,1.6536000000000002
18,PP,0.031897847,Group1,1.8632000000000002
19,PP,0.039874446,Group1,1.6405
20,Ad(PD),0.041352335,Group1,1.5429000000000002
21,Ad(PD),0.03943843,Group1,1.57
22,Ad(PD),0.040191907,Group1,1.6328
23,Ad(PD),0.04004619,Group1,1.6233000000000002
24,Ad(PD),0.029739384,Group1,1.9732
25,Ad(PD),0.041033696,Group1,1.5823
26,Ad(PD),0.041768912,Group1,1.497
27,Ad(PD),0.039090205,Group1,1.7871000000000001
28,Ad(PD),0.035537597,Group1,1.8875000000000002
29,Ad(PD),0.033753987,Group1,1.8301
30,Ad(PD),0.03350411,Group1,1.7415
31,Ad(PD),0.03313692,Group1,1.8036
32,Ad(PD),0.036939166,Group1,1.7059
33,Ad(PD),0.036788452,Group1,1.7338
34,Ad(PD),0.03707334,Group1,1.7425000000000002
35,Ad(PD),0.033097014,Group1,1.804
36,Ad(PD),0.038050506,Group1,1.7066000000000001
37,Ad(PD),0.039859056,Group1,1.609
38,Ad(PD),0.029519135,Group1,1.9716
39,Ad(PD),0.0344367,Group1,1.7966000000000002
40,Ad(Ac),0.036312923,Group1,1.8482
41,Ad(Ac),0.031397194,Group1,1.8835000000000002
42,Ad(Ac),0.037885956,Group1,1.8208000000000002
43,Ad(Ac),0.033001274,Group1,1.8274000000000001
44,Ad(Ac),0.0345897,Group1,1.8981000000000001
45,Ad(Ac),0.03168296,Group1,1.8632000000000002
46,Ad(Ac),0.03668685,Group1,1.7426000000000001
47,Ad(Ac),0.03172007,Group1,1.9257000000000002
48,Ad(Ac),0.03293025,Group1,1.9452
49,Ad(Ac),0.030377995,Group1,1.9461000000000002
50,Ad(Ac),0.037758313,Group1,1.7615
51,Ad(Ac),0.03383383,Group1,1.8438
52,Ad(Ac),0.03305281,Group1,1.8432000000000002
53,Ad(Ac),0.03073897,Group1,1.9260000000000002
54,Ad(Ac),0.030702947,Group1,1.9264000000000001
55,Ad(Ac),0.028688509,Group1,1.9827000000000001
56,Ad(Ac),0.032648057,Group1,1.8711
57,Ad(Ac),0.036726397,Group1,1.7625000000000002
58,Ad(Ac),0.030491032,Group1,1.9208
59,Ad(Ac),0.032323707,Group1,1.8816000000000002
60,Bi,0.03701418,Group1,1.8296000000000001
61,Bi,0.030880334,Group1,1.9032
62,Bi,0.033004373,Group1,1.8775000000000002
63,Bi,0.02832929,Group1,1.9796
64,Bi,0.030459078,Group1,1.9802000000000002
65,Bi,0.027895447,Group1,1.9538000000000002
66,Bi,0.03385756,Group1,1.864
67,Bi,0.031131819,Group1,1.9471
68,Bi,0.028414365,Group1,2.0047
69,Bi,0.030400533,Group1,1.9442000000000002
70,Bi,0.032932892,Group1,1.8758000000000001
71,Bi,0.030859426,Group1,1.939
72,Bi,0.03248787,Group1,1.8634000000000002
73,Bi,0.03204628,Group1,1.9402000000000001
74,Bi,0.029814618,Group1,1.9432
75,Bi,0.030200208,Group1,1.9532
76,Bi,0.03153067,Group1,1.9449
77,Bi,0.032395307,Group1,1.868
78,Bi,0.030257627,Group1,1.9269
79,Bi,0.032113064,Group1,1.9112
0,PP,0.03912468,Group2,1.5964
1,PP,0.0389754,Group2,1.6675
2,PP,0.033448238,Group2,1.7786000000000002
3,PP,0.03853588,Group2,1.7795
4,PP,0.03695721,Group2,1.7117
5,PP,0.02950925,Group2,2.0168
6,PP,0.033278078,Group2,1.8346
7,PP,0.036897074,Group2,1.8991
8,PP,0.037408456,Group2,1.8493000000000002
9,PP,0.040481202,Group2,1.7676
10,PP,0.03218913,Group2,1.8777000000000001
11,PP,0.03449553,Group2,1.8166
12,PP,0.039975043,Group2,1.7381
13,PP,0.03761545,Group2,1.7265000000000001
14,PP,0.0360402,Group2,1.8933
15,PP,0.0323474,Group2,1.8682
16,PP,0.03129534,Group2,1.895
17,PP,0.031554468,Group2,1.947
18,PP,0.034993898,Group2,1.9011
19,PP,0.03575603,Group2,1.8123
20,Ad(PD),0.03495293,Group2,1.8070000000000002
21,Ad(PD),0.05687271,Group2,1.0468
22,Ad(PD),0.038898066,Group2,1.6994
23,Ad(PD),0.03498453,Group2,1.8129000000000002
24,Ad(PD),0.035726193,Group2,1.8096
25,Ad(PD),0.03656326,Group2,1.8643
26,Ad(PD),0.03153034,Group2,1.9147
27,Ad(PD),0.04175511,Group2,1.5156
28,Ad(PD),0.031295095,Group2,1.9164
29,Ad(PD),0.036715947,Group2,1.7739
30,Ad(PD),0.040109064,Group2,1.6521000000000001
31,Ad(PD),0.048591882,Group2,1.4293
32,Ad(PD),0.0298627,Group2,1.979
33,Ad(PD),0.03192323,Group2,1.9580000000000002
34,Ad(PD),0.039724775,Group2,1.7581
35,Ad(PD),0.035350647,Group2,1.7517
36,Ad(PD),0.02734121,Group2,2.0098000000000003
37,Ad(PD),0.034556568,Group2,1.8588
38,Ad(PD),0.034965392,Group2,1.8452000000000002
39,Ad(PD),0.027436875,Group2,1.9903000000000002
40,Ad(Ac),0.036205124,Group2,1.7511
41,Ad(Ac),0.034074288,Group2,1.8727
42,Ad(Ac),0.03142083,Group2,1.9735
43,Ad(Ac),0.03372674,Group2,1.8728
44,Ad(Ac),0.036998577,Group2,1.7608000000000001
45,Ad(Ac),0.035566498,Group2,1.9057000000000002
46,Ad(Ac),0.030811537,Group2,1.9716
47,Ad(Ac),0.032221004,Group2,1.8593000000000002
48,Ad(Ac),0.037595794,Group2,1.85
49,Ad(Ac),0.039483573,Group2,1.7947000000000002
50,Ad(Ac),0.03312208,Group2,1.9179000000000002
51,Ad(Ac),0.03651513,Group2,1.7538
52,Ad(Ac),0.037107285,Group2,1.7561
53,Ad(Ac),0.034012187,Group2,1.9634
54,Ad(Ac),0.034565575,Group2,1.8171000000000002
