condition,RMSE,T2T,Dif_INVC,Dif_NATRL,Dif_IFQUAL,Dif_PER,Dif_COP,Dif_INT,Group,Dif_INVC*Dif_NATRL,Dif_INVC*Dif_IFQUAL,Dif_INVC*Dif_PER,Dif_INVC*Dif_COP,Dif_INVC*Dif_INT,Dif_NATRL*Dif_IFQUAL,Dif_NATRL*Dif_PER,Dif_NATRL*Dif_COP,Dif_NATRL*Dif_INT,Dif_IFQUAL*Dif_PER,Dif_IFQUAL*Dif_COP,Dif_IFQUAL*Dif_INT,Dif_PER*Dif_COP,Dif_PER*Dif_INT,Dif_COP*Dif_INT
PP,0.03621341263294833,1.2734150000000002,0.5,2.0,1.5,0.6666666666666665,4.0,3.0,Group 1,1.0,0.75,0.33333333333333326,2.0,1.5,3.0,1.333333333333333,8.0,6.0,0.9999999999999998,6.0,4.5,2.666666666666666,1.9999999999999996,12.0
PP,0.03554389724230753,1.1811550000000002,0.0,0.5,1.0,0.666666666666667,0.0,1.0,Group 2,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333335,0.0,0.5,0.666666666666667,0.0,1.0,0.0,0.666666666666667,0.0
PP,0.04234924626871834,1.4401750000000002,3.0,0.5,1.0,2.333333333333333,2.0,0.0,Group 3,1.5,3.0,6.999999999999999,6.0,0.0,0.5,1.1666666666666665,1.0,0.0,2.333333333333333,2.0,0.0,4.666666666666666,0.0,0.0
PP,0.04435411266478769,1.4840250000000004,3.5,1.0,3.5,2.0,3.0,2.0,Group 4,3.5,12.25,7.0,10.5,7.0,3.5,2.0,3.0,2.0,7.0,10.5,7.0,6.0,4.0,6.0
PP,0.04400216202858093,1.5619400000000003,0.0,0.5,0.0,1.6666666666666665,0.0,1.0,Group 5,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,1.6666666666666665,0.0
PP,0.04053679897140816,1.275985,1.0,2.5,2.5,0.3333333333333335,1.0,1.5,Group 6,2.5,2.5,0.3333333333333335,1.0,1.5,6.25,0.8333333333333337,2.5,3.75,0.8333333333333337,2.5,3.75,0.3333333333333335,0.5000000000000002,1.5
PP,0.03805704896339601,1.31628,1.5,0.5,0.0,1.333333333333334,1.0,1.0,Group 7,0.75,0.0,2.000000000000001,1.5,1.5,0.0,0.666666666666667,0.5,0.5,0.0,0.0,0.0,1.333333333333334,1.333333333333334,1.0
PP,0.0399640568674318,1.336515,0.5,1.0,2.0,0.33333333333333304,2.0,1.0,Group 8,0.5,1.0,0.16666666666666652,1.0,0.5,2.0,0.33333333333333304,2.0,1.0,0.6666666666666661,4.0,2.0,0.6666666666666661,0.33333333333333304,2.0
PP,0.05370482258502467,1.8390349999999998,1.0,1.0,0.5,2.0,1.0,1.5,Group 9,1.0,0.5,2.0,1.0,1.5,0.5,2.0,1.0,1.5,1.0,0.5,0.75,2.0,3.0,1.5
PP,0.03961370319532689,1.3822000000000003,1.0,0.0,0.5,0.6666666666666661,2.0,0.5,Group 10,0.0,0.5,0.6666666666666661,2.0,0.5,0.0,0.0,0.0,0.0,0.33333333333333304,1.0,0.25,1.3333333333333321,0.33333333333333304,1.0
AD,0.03171958098764753,1.0777250000000003,2.0,4.5,4.0,4.666666666666667,2.0,1.5,Group 1,9.0,8.0,9.333333333333334,4.0,3.0,18.0,21.0,9.0,6.75,18.666666666666668,8.0,6.0,9.333333333333334,7.0,3.0
AD,0.03788923362453846,1.3495400000000002,0.5,1.0,3.0,0.666666666666667,3.0,3.0,Group 2,0.5,1.5,0.3333333333333335,1.5,1.5,3.0,0.666666666666667,3.0,3.0,2.000000000000001,9.0,9.0,2.000000000000001,2.000000000000001,9.0
AD,0.039302904528305135,1.327755,0.5,0.5,1.5,1.3333333333333335,1.0,5.0,Group 3,0.25,0.75,0.6666666666666667,0.5,2.5,0.75,0.6666666666666667,0.5,2.5,2.0,1.5,7.5,1.3333333333333335,6.666666666666668,5.0
AD,0.03960466177796593,1.429875,0.5,0.5,0.0,0.0,1.0,0.5,Group 4,0.25,0.0,0.0,0.5,0.25,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.5
AD,0.05357626559442364,1.923855,0.5,2.0,1.5,0.6666666666666661,3.0,2.0,Group 5,1.0,0.75,0.33333333333333304,1.5,1.0,3.0,1.3333333333333321,6.0,4.0,0.9999999999999991,4.5,3.0,1.9999999999999982,1.3333333333333321,6.0
AD,0.04214847938260967,1.4353650000000002,0.5,0.0,0.5,1.666666666666666,1.0,0.5,Group 6,0.0,0.25,0.833333333333333,0.5,0.25,0.0,0.0,0.0,0.0,0.833333333333333,0.5,0.25,1.666666666666666,0.833333333333333,0.5
AD,0.04579571923291214,1.6857550000000003,0.5,2.5,4.0,0.33333333333333304,2.0,0.5,Group 7,1.25,2.0,0.16666666666666652,1.0,0.25,10.0,0.8333333333333326,5.0,1.25,1.3333333333333321,8.0,2.0,0.6666666666666661,0.16666666666666652,1.0
AD,0.040088261907299264,1.36035,1.5,0.5,2.0,2.0,0.0,0.5,Group 8,0.75,3.0,3.0,0.0,0.75,1.0,1.0,0.0,0.25,4.0,0.0,1.0,0.0,1.0,0.0
AD,0.035021067252358214,1.237085,2.0,4.5,4.0,4.666666666666667,2.0,1.5,Group 9,9.0,8.0,9.333333333333334,4.0,3.0,18.0,21.0,9.0,6.75,18.666666666666668,8.0,6.0,9.333333333333334,7.0,3.0
