types,sub_pos,Group,exp,porr,sum_force
PP,0.0030634261,1,1,pitch,0.31614026
PP,0.0021490848,1,2,pitch,0.16450785
PP,0.00486889,1,3,pitch,1.1377268
PP,0.0023603518,1,4,pitch,0.15394926
PP,0.006924326,1,5,pitch,1.2043476
PP,0.0026202062,1,6,pitch,0.7006029
PP,0.0027443126,1,7,pitch,0.7738087
PP,0.0035385727,1,8,pitch,0.97726667
PP,0.0029597091,1,9,pitch,0.8967237
PP,0.0024312367,1,10,pitch,0.7916883
PP,0.0024904732,1,11,pitch,0.69603765
PP,0.002710538,1,12,pitch,0.8033633
PP,0.0017642662,1,13,pitch,0.30822226
PP,0.0028990295,1,14,pitch,0.97927415
PP,0.0038202654,1,15,pitch,0.60790867
PP,0.0022267425,1,16,pitch,0.39397633
PP,0.0041451203,1,17,pitch,0.997441
PP,0.0018817384,1,18,pitch,0.3591334
PP,0.0028017403,1,19,pitch,0.8309264
PP,0.0027891258,1,20,pitch,0.9478251
Ad(PD),0.0044259895,1,1,pitch,0.67413884
Ad(PD),0.0045288764,1,2,pitch,0.5040614
Ad(PD),0.0069623715,1,3,pitch,1.1874356
Ad(PD),0.013933028,1,4,pitch,1.4883746
Ad(PD),0.029622206,1,5,pitch,1.0204117
Ad(PD),0.006817392,1,6,pitch,1.0553694
Ad(PD),0.0065148766,1,7,pitch,1.113467
Ad(PD),0.0080892155,1,8,pitch,1.3261071
Ad(PD),0.041227344,1,9,pitch,1.2425853
Ad(PD),0.01071109,1,10,pitch,1.4296666
Ad(PD),0.0052573476,1,11,pitch,0.65895414
Ad(PD),0.0091327,1,12,pitch,1.1776365
Ad(PD),0.004807037,1,13,pitch,0.4820873
Ad(PD),0.006393841,1,14,pitch,0.77441454
Ad(PD),0.0069572614,1,15,pitch,0.7004513
Ad(PD),0.007674216,1,16,pitch,1.11052
Ad(PD),0.019130656,1,17,pitch,1.2908944
Ad(PD),0.0042378996,1,18,pitch,0.610599
Ad(PD),0.027809951,1,19,pitch,1.3716643
Ad(PD),0.006506788,1,20,pitch,0.8807359
Ad(Ac),0.0149369305,1,1,pitch,0.6241433
Ad(Ac),0.011776791,1,2,pitch,0.42819244
Ad(Ac),0.013264278,1,3,pitch,0.9397616
Ad(Ac),0.008964153,1,4,pitch,0.5081891
Ad(Ac),0.0125767905,1,5,pitch,0.7808604
Ad(Ac),0.017427316,1,6,pitch,0.4827929
Ad(Ac),0.0073084547,1,7,pitch,0.5065468
Ad(Ac),0.018228238,1,8,pitch,0.96376044
Ad(Ac),0.012996215,1,9,pitch,0.9095073
Ad(Ac),0.012684917,1,10,pitch,0.7739065
Ad(Ac),0.013619329,1,11,pitch,0.5864211
Ad(Ac),0.0123433815,1,12,pitch,0.7724842
Ad(Ac),0.006119241,1,13,pitch,0.20898476
Ad(Ac),0.009463705,1,14,pitch,0.8097086
Ad(Ac),0.0077271885,1,15,pitch,0.6090401
Ad(Ac),0.012122872,1,16,pitch,0.36025363
Ad(Ac),0.013138802,1,17,pitch,0.7662553
Ad(Ac),0.009018023,1,18,pitch,0.3810823
Ad(Ac),0.011651037,1,19,pitch,0.6706423
Ad(Ac),0.009740134,1,20,pitch,0.67097384
Bi,0.0041539567,1,1,pitch,0.15992838
Bi,0.0040695188,1,2,pitch,0.09424206
Bi,0.0042192186,1,3,pitch,0.21770902
Bi,0.0038772298,1,4,pitch,0.10313516
Bi,0.0057931202,1,5,pitch,0.3188841
Bi,0.0048473533,1,6,pitch,0.23043388
Bi,0.0048542074,1,7,pitch,0.14423472
Bi,0.0028893305,1,8,pitch,0.3325932
Bi,0.007300493,1,9,pitch,0.34311956
Bi,0.0056621665,1,10,pitch,0.23324601
Bi,0.0046500512,1,11,pitch,0.21097326
Bi,0.0062821056,1,12,pitch,0.27578998
Bi,0.0038286305,1,13,pitch,0.05211655
Bi,0.0049987123,1,14,pitch,0.3193574
Bi,0.0034428572,1,15,pitch,0.21545036
Bi,0.0039823623,1,16,pitch,0.12688847
Bi,0.0045214538,1,17,pitch,0.29731816
Bi,0.0041287644,1,18,pitch,0.15499865
Bi,0.0040405737,1,19,pitch,0.22285542
Bi,0.006651508,1,20,pitch,0.32384
PP,0.0036421851,2,1,pitch,0.24465589
PP,0.0018850663,2,2,pitch,0.26134434
PP,0.008371866,2,3,pitch,0.55420244
PP,0.007984026,2,4,pitch,1.1008782
PP,0.017671809,2,5,pitch,0.26515886
PP,0.013997491,2,6,pitch,1.793532
PP,0.009149169,2,7,pitch,1.5344605
PP,0.008359882,2,8,pitch,0.80805886
PP,0.012071379,2,9,pitch,1.395207
PP,0.01836576,2,10,pitch,1.3421589
PP,0.0038410912,2,11,pitch,0.9057433
PP,0.005790389,2,12,pitch,0.7147142
PP,0.006988591,2,13,pitch,0.33335176
PP,0.0023424283,2,14,pitch,0.48430067
PP,0.008194764,2,15,pitch,1.006894
PP,0.0036064817,2,16,pitch,0.6205407
PP,0.005068703,2,17,pitch,0.6555006
PP,0.0055628275,2,18,pitch,0.520678
PP,0.006663978,2,19,pitch,0.94165
PP,0.004122418,2,20,pitch,0.56499165
Ad(PD),0.0037446425,2,1,pitch,0.3247098
Ad(PD),0.0020262185,2,2,pitch,0.23162729
Ad(PD),0.0053140554,2,3,pitch,0.3533732
Ad(PD),0.018054364,2,4,pitch,1.0941079
Ad(PD),0.0072737993,2,5,pitch,0.579288
Ad(PD),0.01740892,2,6,pitch,1.2745843
Ad(PD),0.010938213,2,7,pitch,0.7889498
Ad(PD),0.013233078,2,8,pitch,1.2400663
Ad(PD),0.008490651,2,9,pitch,0.8378129
Ad(PD),0.019605517,2,10,pitch,0.87401825
Ad(PD),0.020062322,2,11,pitch,0.7466626
Ad(PD),0.004220581,2,12,pitch,0.529436
Ad(PD),0.004499166,2,13,pitch,0.34379584
Ad(PD),0.007437668,2,14,pitch,0.7847741
Ad(PD),0.0133031765,2,15,pitch,0.74902034
Ad(PD),0.005881408,2,16,pitch,0.5142174
Ad(PD),0.0052190605,2,17,pitch,0.64166844
Ad(PD),0.006432039,2,18,pitch,0.43831208
Ad(PD),0.0077630403,2,19,pitch,0.76694304
Ad(PD),0.004223738,2,20,pitch,0.32685584
Ad(Ac),0.010119208,2,1,pitch,0.14474007
Ad(Ac),0.012536983,2,2,pitch,0.21552555
Ad(Ac),0.015823837,2,3,pitch,0.31367418
Ad(Ac),0.029437296,2,4,pitch,0.87355834
Ad(Ac),0.008939332,2,5,pitch,0.14300174
Ad(Ac),0.026177092,2,6,pitch,0.8601307
Ad(Ac),0.035590995,2,7,pitch,0.93210626
Ad(Ac),0.015150844,2,8,pitch,0.42501298
Ad(Ac),0.025531989,2,9,pitch,0.77396107
Ad(Ac),0.02395274,2,10,pitch,0.7100549
Ad(Ac),0.013948378,2,11,pitch,0.1754082
Ad(Ac),0.011373639,2,12,pitch,0.32128248
Ad(Ac),0.013022228,2,13,pitch,0.15818697
Ad(Ac),0.0119117955,2,14,pitch,0.21181965
Ad(Ac),0.024422912,2,15,pitch,0.71869695
Ad(Ac),0.0166015,2,16,pitch,0.4213147
Ad(Ac),0.011821558,2,17,pitch,0.34006643
Ad(Ac),0.012869997,2,18,pitch,0.18909396
Ad(Ac),0.020824809,2,19,pitch,0.5653046
Ad(Ac),0.008417483,2,20,pitch,0.21841885
Bi,0.006460841,2,1,pitch,0.09372794
Bi,0.0045954483,2,2,pitch,0.072004266
Bi,0.009049509,2,3,pitch,0.13103172
Bi,0.010415578,2,4,pitch,0.31896606
Bi,0.006796671,2,5,pitch,0.13011426
Bi,0.011791115,2,6,pitch,0.38450584
Bi,0.01604084,2,7,pitch,0.42361966
Bi,0.0055872835,2,8,pitch,0.08368979
Bi,0.019323887,2,9,pitch,0.29028738
Bi,0.014991017,2,10,pitch,0.29416654
Bi,0.008319707,2,11,pitch,0.09426992
Bi,0.0077578975,2,12,pitch,0.12502588
Bi,0.009290365,2,13,pitch,0.11346549
Bi,0.008302664,2,14,pitch,0.13845152
Bi,0.01183685,2,15,pitch,0.18970332
Bi,0.00465839,2,16,pitch,0.058234766
Bi,0.005269492,2,17,pitch,0.08270452
Bi,0.0059434758,2,18,pitch,0.06552815
Bi,0.010584985,2,19,pitch,0.23076242
Bi,0.0037128408,2,20,pitch,0.055170834
PP,0.004981169,3,1,pitch,0.46884283
PP,0.003334467,3,2,pitch,0.3588542
PP,0.011970032,3,3,pitch,0.8221014
PP,0.017296303,3,4,pitch,0.80046004
PP,0.032792404,3,5,pitch,1.1254885
PP,0.0042338036,3,6,pitch,0.40417576
PP,0.0023332273,3,7,pitch,0.32874528
PP,0.016892124,3,8,pitch,0.68119895
PP,0.030797709,3,9,pitch,0.82869166
PP,0.033875383,3,10,pitch,0.71585363
PP,0.007837853,3,11,pitch,0.82428575
PP,0.010325268,3,12,pitch,0.67596495
PP,0.004901739,3,13,pitch,0.36291778
PP,0.003094346,3,14,pitch,0.1625668
PP,0.025171688,3,15,pitch,0.49505726
PP,0.03126617,3,16,pitch,0.90185535
PP,0.03093194,3,17,pitch,0.9904151
PP,0.020593664,3,18,pitch,1.3098675
PP,0.006714832,3,19,pitch,1.1993643
PP,0.008205521,3,20,pitch,0.7096371
Ad(PD),0.008242324,3,1,pitch,1.1268387
Ad(PD),0.008190896,3,2,pitch,1.2534922
Ad(PD),0.011350034,3,3,pitch,1.2556139
Ad(PD),0.013827574,3,4,pitch,1.7532697
Ad(PD),0.024847923,3,5,pitch,1.6790957
Ad(PD),0.0040972065,3,6,pitch,0.27090964
Ad(PD),0.008312856,3,7,pitch,0.7996062
Ad(PD),0.0062280274,3,8,pitch,0.71554035
Ad(PD),0.0107545145,3,9,pitch,1.1351899
Ad(PD),0.009802458,3,10,pitch,0.92794186
Ad(PD),0.014716933,3,11,pitch,0.79927576
Ad(PD),0.0067510726,3,12,pitch,0.94875485
Ad(PD),0.0052686064,3,13,pitch,0.7218018
Ad(PD),0.005768263,3,14,pitch,0.5624457
Ad(PD),0.02450476,3,15,pitch,1.0729883
Ad(PD),0.007153582,3,16,pitch,0.67742616
Ad(PD),0.011872689,3,17,pitch,0.9656109
Ad(PD),0.013152525,3,18,pitch,1.0206746
Ad(PD),0.01338866,3,19,pitch,0.97013307
Ad(PD),0.008239378,3,20,pitch,0.67140037
Ad(Ac),0.017414046,3,1,pitch,0.45857814
Ad(Ac),0.013713208,3,2,pitch,0.8813636
Ad(Ac),0.021145504,3,3,pitch,0.9974456
Ad(Ac),0.05560031,3,4,pitch,0.587513
Ad(Ac),0.065817565,3,5,pitch,0.8137939
Ad(Ac),0.011991996,3,6,pitch,0.34100828
Ad(Ac),0.009343421,3,7,pitch,0.38311207
Ad(Ac),0.027863737,3,8,pitch,0.746854
Ad(Ac),0.030275015,3,9,pitch,0.78023124
Ad(Ac),0.04972534,3,10,pitch,0.7392212
Ad(Ac),0.04508136,3,11,pitch,0.62935376
Ad(Ac),0.059239127,3,12,pitch,0.93709385
Ad(Ac),0.033204477,3,13,pitch,0.45581126
Ad(Ac),0.0073053455,3,14,pitch,0.32877728
Ad(Ac),0.08253514,3,15,pitch,0.9590535
Ad(Ac),0.07534132,3,16,pitch,0.7923976
Ad(Ac),0.056960758,3,17,pitch,0.81070834
Ad(Ac),0.051230717,3,18,pitch,0.76785666
Ad(Ac),0.041417655,3,19,pitch,0.76545686
Ad(Ac),0.06300969,3,20,pitch,0.43947512
Bi,0.007553219,3,1,pitch,0.13758898
Bi,0.003834609,3,2,pitch,0.09053887
Bi,0.0082624275,3,3,pitch,0.24420875
Bi,0.007144324,3,4,pitch,0.19353223
Bi,0.006809207,3,5,pitch,0.23116003
Bi,0.0031909382,3,6,pitch,0.07174445
Bi,0.0032004798,3,7,pitch,0.09887609
Bi,0.0052885762,3,8,pitch,0.17400263
Bi,0.0064526154,3,9,pitch,0.16513377
Bi,0.0080825845,3,10,pitch,0.21230307
Bi,0.0075305575,3,11,pitch,0.21068846
Bi,0.008564386,3,12,pitch,0.17653249
Bi,0.0068591684,3,13,pitch,0.14596455
Bi,0.0042609526,3,14,pitch,0.12758714
Bi,0.008208643,3,15,pitch,0.23827091
Bi,0.01881882,3,16,pitch,0.24234071
Bi,0.014088552,3,17,pitch,0.18088253
Bi,0.011249896,3,18,pitch,0.1888316
Bi,0.0066360896,3,19,pitch,0.16907728
Bi,0.0058093923,3,20,pitch,0.11030082
PP,0.004376134,4,1,pitch,0.4487899
PP,0.0073476154,4,2,pitch,0.5265491
PP,0.0032663736,4,3,pitch,0.796832
PP,0.0037187831,4,4,pitch,0.40165767
PP,0.006790381,4,5,pitch,1.03492
PP,0.0025293147,4,6,pitch,0.40805817
PP,0.005794662,4,7,pitch,0.33637843
PP,0.00820504,4,8,pitch,0.99336505
PP,0.0058002598,4,9,pitch,1.0421056
PP,0.003351355,4,10,pitch,0.33721465
PP,0.0045204517,4,11,pitch,0.551597
PP,0.003781407,4,12,pitch,0.72488296
PP,0.0029240923,4,13,pitch,0.79041827
PP,0.010609006,4,14,pitch,0.3242384
PP,0.002402545,4,15,pitch,0.29881412
PP,0.004195879,4,16,pitch,0.31326038
PP,0.0033214556,4,17,pitch,0.55142
PP,0.0033694694,4,18,pitch,0.32883835
PP,0.0039287354,4,19,pitch,0.6064105
PP,0.003245728,4,20,pitch,0.3195714
Ad(PD),0.04386964,4,1,pitch,1.1684797
Ad(PD),0.0061144787,4,2,pitch,1.0246477
Ad(PD),0.007082586,4,3,pitch,0.4976663
Ad(PD),0.04178407,4,4,pitch,1.1544702
Ad(PD),0.036253326,4,5,pitch,1.5535855
Ad(PD),0.021718407,4,6,pitch,2.1135554
Ad(PD),0.014972841,4,7,pitch,1.7155037
Ad(PD),0.057508618,4,8,pitch,1.8826356
Ad(PD),0.123890765,4,9,pitch,1.7459843
Ad(PD),0.04120167,4,10,pitch,1.6539319
Ad(PD),0.03428777,4,11,pitch,2.0069754
Ad(PD),0.0355726,4,12,pitch,1.0828333
Ad(PD),0.069856435,4,13,pitch,1.9884868
Ad(PD),0.067148805,4,14,pitch,1.3421484
Ad(PD),0.019490775,4,15,pitch,1.296037
Ad(PD),0.03055807,4,16,pitch,2.2720194
Ad(PD),0.038241915,4,17,pitch,1.5752352
Ad(PD),0.057786655,4,18,pitch,2.3611732
Ad(PD),0.056357488,4,19,pitch,2.422752
Ad(PD),0.013301175,4,20,pitch,1.1141351
Ad(Ac),0.037303735,4,1,pitch,0.32976934
Ad(Ac),0.0337613,4,2,pitch,0.4206222
Ad(Ac),0.019469539,4,3,pitch,0.3982889
