time,p_iq,p_am,p_wm,p_thm,r_iq,r_am,r_wm,r_thm
1.61e-07,0.0,0.0,0.0,-0.03410199,0.0,0.0,0.0,-0.006394712
0.40054077,0.084586434,-1.2578174,0.14412996,-0.019796746,0.084586434,1.2790829,0.004562438,-0.00674657
0.8012387,0.01607743,-52.352737,-0.41464275,-0.005254314,0.01607743,-1.0727152,-0.001251034,-0.0051396457
1.2021089,0.31796336,1.897552,0.7616347,0.058628403,0.31796336,-0.11031645,0.00049133186,-0.0073528974
1.6032366,-0.013543311,-14.657413,0.6744289,0.50245064,-0.013543311,4.1701064,0.014599932,-0.0059894463
2.0041826,-0.08424256,-10.478828,-0.34369192,0.5112078,-0.08424256,-10.49484,-0.010169992,-0.006163805
2.405422,0.19328225,-0.42882422,-1.3316482,0.10073831,0.19328225,1.7362636,0.00045292612,-0.005651725
2.8062754,0.272477,-9.236185,-0.6689706,-0.28389788,0.272477,-1.679847,0.007890503,-0.0060868356
3.2071173,-0.35428807,-2.503468,-0.11967826,-0.36290106,-0.35428807,0.0050752256,0.005016016,-0.006383716
3.608653,0.11996514,-29.505938,0.38406673,-0.4301453,0.11996514,8.079379,0.0024017824,-0.0073858844
4.0094123,0.05910122,-5.071405,1.6323203,-0.0044280747,0.05910122,6.339133,0.0035273791,-0.0074141584
4.410357,-0.05974244,0.5835828,0.3312628,0.35031587,-0.05974244,-6.58376,-0.019883899,-0.0048286277
4.810954,0.04344768,-4.269409,-0.9500098,0.2315668,0.04344768,-2.4475696,-0.007887854,-0.0050940923
5.2117476,0.11425878,1.5213642,-0.6728656,-0.1661447,0.11425878,1.7309011,-1.52212415e-05,-0.006708871
5.613273,0.13920799,3.1103396,0.013741521,-0.3441395,0.13920799,4.216113,0.014892571,-0.0063617253
6.014124,0.023922112,9.111169,-0.25938955,-0.3964407,0.023922112,2.9824924,0.0074247885,-0.005237035
6.414876,0.42236796,-6.50343,1.1221508,-0.22078484,0.42236796,0.18486567,-3.4565568e-05,-0.0069209286
6.815609,-0.078747444,-14.463765,0.6961318,0.30359095,-0.078747444,0.9093277,0.009250941,-0.0051474995
7.217258,-0.38635433,-13.849626,-0.38768235,0.3604569,-0.38635433,0.056088205,0.0072267735,-0.005837079
7.618597,0.19827814,8.864453,-0.9705563,-0.03601679,0.19827814,-0.5300664,-0.011486422,-0.005824513
8.019337,0.17933935,-2.1573308,-0.30640194,-0.3406162,0.17933935,-2.2332065,-0.012704505,-0.006077411
8.4200735,-0.31510738,1.6958896,-0.2577283,-0.3722096,-0.31510738,0.3364175,0.0048118285,-0.0057192696
8.821069,-0.027578266,3.9652264,0.53031325,-0.3948872,-0.027578266,2.5098565,0.011279968,-0.0073560392
9.222492,-0.038357835,9.870687,1.5800602,0.08981499,-0.038357835,3.3340878,0.0047841463,-0.0068141143
9.62396,-0.020589156,-2.507448,0.107409894,0.36884812,-0.020589156,3.7438848,-0.005163556,-0.0054962165
10.025458,-0.18597513,-14.772742,-1.1140369,0.17789112,-0.18597513,3.3050158,-0.0018490533,-0.0051883403
10.427055,-0.1603207,-2.9347425,-0.77855176,-0.21774222,-0.1603207,3.8873713,0.014058647,-0.0065140924
10.828081,0.0064373394,4.754619,0.15323514,-0.3693649,0.0064373394,3.161886,-0.00043292885,-0.0064905304
11.228898,0.06928982,10.047437,-0.06496931,-0.44039473,0.06928982,-2.8886325,-0.018391218,-0.005947035
11.630001,0.64979464,-5.5246425,1.3346148,-0.18577965,0.64979464,-0.56923836,-0.0029612693,-0.006869092
12.030679,-0.1962406,3.0725904,0.47856995,0.31365034,-0.1962406,1.50009,0.0024782945,-0.0047029643
12.431753,-0.47946256,-5.089818,-0.5809925,0.32261643,-0.47946256,-0.8278226,0.010612938,-0.005606172
12.832814,-0.061194297,6.332655,-0.855317,-0.08718548,-0.061194297,2.1072648,0.0024859197,-0.006357013
13.235197,-0.1391926,3.8120983,-0.21132131,-0.36086375,-0.1391926,-1.1490445,-0.023190036,-0.006547079
13.636702,-0.24430224,-15.257549,-0.47071594,-0.4005625,-0.24430224,1.0260516,0.0065324074,-0.0052967253
14.037608,0.21287316,11.303737,0.6748322,-0.3765356,0.21287316,4.1411185,0.004542192,-0.006994756
14.439477,-0.3217398,-6.23423,1.3065814,0.14929634,-0.3217398,-0.6128298,0.014976203,-0.0062533403
14.839928,-0.123352185,3.2302186,0.014029405,0.35534397,-0.123352185,-1.1182488,0.0037324594,-0.005827654
15.240778,-0.1951577,-5.841836,-1.2850264,0.100691184,-0.1951577,-0.07554969,0.00022492318,-0.005328141
15.641869,0.08420704,7.8957057,-0.8200883,-0.27714187,0.08420704,7.933693,0.033269674,-0.006077411
16.042393,0.0039028148,-1.2687681,0.15664998,-0.38135952,0.0039028148,1.6252999,0.0077051953,-0.006477964
16.44371,0.27667445,7.297896,0.19245383,-0.45384076,0.27667445,0.40445626,-0.013330912,-0.006550221
16.8449,0.1984074,13.6004505,1.5446577,-0.12761778,0.1984074,-0.45151222,-0.002946225,-0.0068203975
17.24612,-0.020630667,-13.244182,0.22282824,0.3198581,-0.020630667,1.0561398,0.001337477,-0.0045238934
17.647713,-0.09513888,-7.355135,-0.7937346,0.2778833,-0.09513888,-1.6658504,0.0045542363,-0.0052386057
18.048462,-0.005681333,65.308586,-0.8253808,-0.13977103,-0.005681333,1.211242,-0.0046550436,-0.006723008
18.450047,0.001778444,2.5469136,-0.32397786,-0.38609546,0.001778444,5.1149344,0.005702285,-0.006477964
18.850727,0.15036932,-3.997118,-0.43361187,-0.43607035,0.15036932,-2.5141256,-0.006602169,-0.005026548
19.251444,0.3240514,2.101807,0.8603352,-0.35032842,0.3240514,0.15848087,0.0016405181,-0.006702588
19.652393,-0.14687628,-7.196923,1.0588175,0.19525155,-0.14687628,1.481097,0.011768889,-0.005643871
20.053877,-0.09041702,-9.367874,-0.10111574,0.3422608,-0.09041702,3.2932491,0.0063278256,-0.0060805525
20.455666,0.016035402,3.8706906,-1.3039963,0.02303887,0.016035402,0.36671606,0.003868506,-0.005362699
20.85678,0.14629094,19.48413,-0.66844505,-0.3322847,0.14629094,4.841384,0.014811983,-0.005909336
21.25772,-0.3275375,-5.8676453,0.035395402,-0.3952532,-0.3275375,-0.50596374,0.0033687884,-0.0063413046
21.65855,0.033386383,-8.435115,0.32368323,-0.4576468,0.033386383,2.822433,-0.005728544,-0.00704188
22.060165,0.056471266,-13.88563,1.6387627,-0.06446077,0.056471266,0.12461579,-0.0005170949,-0.006927212
22.460752,0.035679437,-6.4409513,0.30541697,0.31752235,0.035679437,-1.073818,-0.020955674,-0.0048726103
22.862122,-0.05768057,-12.093165,-0.9638076,0.21629237,-0.05768057,1.4707652,0.0038208968,-0.00502969
23.263353,0.25592276,9.745053,-0.8573682,-0.20508945,0.25592276,2.4440274,0.0012945633,-0.0065894905
23.664932,0.07161468,5.412811,-0.1540482,-0.42430508,0.07161468,-1.403519,-0.010973012,-0.0064999554
24.066837,-0.072963595,8.237473,-0.22365446,-0.47348356,-0.072963595,10.368198,0.0015301125,-0.005482079
24.467627,0.4416897,13.261393,1.0776979,-0.32321334,0.4416897,1.4144213,0.0026207417,-0.0066303313
24.869434,-0.10632455,3.478975,0.8138021,0.22274363,-0.10632455,-9.51005,-0.012788673,-0.0051160837
25.27067,-0.25036636,-2.0123491,-0.23845106,0.31323093,-0.25036636,8.780578,0.011798327,-0.005994159
25.67169,0.2443875,-24.43847,-1.1753023,-0.0607961,0.2443875,3.035201,0.00624736,-0.0056014596
26.073063,0.13688026,19.251163,-0.4599604,-0.39067745,0.13688026,0.29582158,0.0022567164,-0.0059171896
26.474987,-0.20385033,-0.6246011,-0.13674617,-0.4268042,-0.20385033,-0.9045284,0.00753613,-0.0059988713
26.876682,0.18437056,7.640886,0.4638018,-0.46163347,0.18437056,-0.09963262,0.0041210726,-0.0070968578
27.277191,-0.046858184,4.7731023,1.6370212,-0.009561437,-0.046858184,-2.9130366,0.0070741507,-0.0067921234
27.677969,-0.14414291,-7.17587,0.16791587,0.30147508,-0.14414291,4.6701427,-0.008380983,-0.0055260616
28.07896,-0.14583988,2.9684582,-1.0351627,0.13390096,-0.14583988,3.0301151,0.004792046,-0.0049778535
28.479914,-0.08787433,-1.3882656,-0.74985087,-0.28188255,-0.08787433,-2.1047592,-0.015324094,-0.0066758846
28.880484,0.113954835,5.328886,0.07656676,-0.46723494,0.113954835,1.0956407,-0.0054294285,-0.0064669685
29.28161,0.2009884,6.457222,-0.17449759,-0.520386,0.2009884,-4.838893,-0.020106338,-0.0057506855
29.682892,0.52715385,18.517803,1.260109,-0.30140913,0.52715385,0.5219917,-0.0022926198,-0.0067135836
