time,p_iq,p_am,p_wm,p_thm,r_iq,r_am,r_wm,r_thm
2.67e-07,0.0,0.0,0.0,-0.059344687,0.0,0.0,0.0,-0.27746546
0.035026383,0.0,0.0,0.0,-0.059344687,0.0,4.1705923,0.0062749335,-0.2775597
0.070390195,1.0,3.6358705,-0.0020087042,-0.059313267,1.0,12.009201,0.4512969,-0.26678404
0.10541652,1.0,0.00029425244,-2.0169406e-08,-0.059376102,1.0,21.680693,0.95443904,-0.2410544
0.14047508,1.0,5.048089,0.0056494516,-0.059438933,1.0,3.4599862,1.4318669,-0.198423
0.17551659,1.0,0.032669887,-3.7134732e-06,-0.059533183,1.0,18.99836,1.9483407,-0.13854423
0.2105576,-1.0,-5.562501,0.009962461,-0.05962743,-1.0,-15.54488,1.5545433,-0.083000876
0.24559455,1.0,1.5080518,-0.0061396467,-0.059376102,1.0,5.323482,1.8561529,-0.019069467
0.28061715,-1.0,-6.8250966,0.014086058,-0.059470348,-1.0,8.845183,1.545779,0.03556283
0.31575274,-1.0,3.2135363,0.025309272,-0.059187606,-1.0,-14.207586,0.9689357,0.07715751
0.3507977,1.0,-4.6002088,-0.016093073,-0.058967695,1.0,-6.709124,1.300135,0.122176535
0.38582724,1.0,-0.4689275,8.4942854e-05,-0.058716368,1.0,1.8592399,1.8126544,0.1791022
0.42087495,-1.0,-3.1099563,0.023387626,-0.058873445,-1.0,-14.955283,1.4320586,0.23106414
0.455917,-1.0,2.5515795,0.029502023,-0.058716368,-1.0,-0.6275632,0.8772942,0.2698942
0.4909543,1.0,-5.063167,-0.023133839,-0.058496457,1.0,-19.56474,1.183425,0.31214866
0.52600175,-1.0,11.125902,0.023611037,-0.058339376,-1.0,-16.616018,0.85830307,0.34466413
0.56104845,-1.0,-4.7427416,0.011466267,-0.05821371,-1.0,-18.51711,0.32303473,0.364142
0.5960923,-1.0,17.898674,0.026187912,-0.058056634,-1.0,-8.726596,-0.18748388,0.36546147
0.6311279,1.0,-8.489804,-0.016743008,-0.057742473,1.0,-17.07141,0.13888925,0.36979687
0.66616786,1.0,-1.0191516,0.00024574407,-0.057679642,1.0,-19.547222,0.64361423,0.38541058
0.701267,-1.0,14.131327,0.03313244,-0.057805303,-1.0,-4.282653,0.31572863,0.39719155
0.7362913,-1.0,-1.1602032,0.012723033,-0.057836723,-1.0,12.1800165,-0.20863351,0.396469
0.77170694,1.0,-19.005457,-0.032712653,-0.057711057,1.0,-0.24812949,0.11175061,0.3988566
0.80672413,1.0,2.1755989,-0.008161677,-0.057742473,1.0,7.069114,0.6036384,0.4126168
0.84175044,-1.0,11.881501,0.018041136,-0.057962384,-1.0,8.730969,0.24079768,0.4226699
0.8767704,-1.0,-2.750456,0.0058446038,-0.058056634,-1.0,5.6889014,-0.270631,0.420565
0.9118053,-1.0,1.2672415,-0.00033178725,-0.058056634,-1.0,-14.451845,-0.79641247,0.4009929
0.9468373,-1.0,1.1025991,-0.00027432884,-0.0579938,-1.0,-19.745598,-1.318465,0.36404777
0.98185873,-1.0,-1.2549034e-05,6.808902e-10,-0.057868138,-1.0,-8.297565,-1.8058201,0.3096982
1.0168808,1.0,-0.7421996,-0.0010452054,-0.057553977,1.0,-17.045727,-1.4310691,0.258773
1.0519017,-1.0,0.283777,0.016508423,-0.057742473,-1.0,-4.246705,-1.72943,0.19930264
1.0869246,1.0,-5.138137,0.0027810372,-0.057553977,1.0,-9.232529,-1.3845583,0.14828317
1.1219419,1.0,0.3424013,-5.5274268e-05,-0.057742473,1.0,-0.14945401,-0.8610751,0.10920176
1.1569592,1.0,2.7874422,-0.0073841996,-0.057836723,1.0,13.469989,-0.32522324,0.08815309
1.1919814,1.0,4.3189807,-0.002758187,-0.058245126,1.0,20.088943,0.18153794,0.084885836
1.2269988,-1.0,20.227913,0.026356118,-0.058559287,-1.0,36.066643,-0.14194852,0.08001637
1.2620162,1.0,-20.572235,-0.02466311,-0.058590703,1.0,13.540308,0.16759041,0.08337787
1.2970334,1.0,4.646599,-0.0030951977,-0.058747783,1.0,18.914177,0.6377022,0.098457515
1.3320537,-1.0,-0.061922934,0.0073713865,-0.059187606,-1.0,25.976032,0.31238222,0.11130663
1.3670797,1.0,-13.362109,-0.017256765,-0.059124775,1.0,3.3053918,0.6178072,0.13175839
1.4020971,-1.0,3.4390674,-0.0011455003,-0.059438933,-1.0,-2.2408714,0.24241662,0.14407344
