time,p_iq,p_am,p_wm,p_thm,r_iq,r_am,r_wm,r_thm
2.4e-07,0.0,0.0,0.0,-0.0032358405,0.0,0.0,0.0,-19.533009
0.010012444,0.0,-139.64227,0.0015309503,-0.0032358405,0.0,-92.489975,0.00091857015,-19.53279
0.020022713,1.0,94.86703,-0.0009971692,-0.0034871679,1.0,62.59022,-0.0005983015,-19.534077
0.030040557,-1.0,183.29883,0.34222847,-0.0036442475,-1.0,-101.79626,0.33091918,-19.533512
0.04007064,1.0,1029.5911,-0.4123994,-0.0036128315,1.0,1554.0767,-0.18463542,-19.533794
0.05007994,1.0,215.04944,-0.013161656,-0.0046181413,1.0,203.86745,-0.007896993,-19.536905
0.06009986,1.0,3968.5823,-0.24690649,-0.005183628,1.0,3785.043,-0.14814389,-19.539387
0.07083703,-1.0,-1001.2484,0.16948424,-0.0061889375,-1.0,-671.81946,0.16448347,-19.54058
0.080850035,-1.0,260.117,-0.013724294,-0.0067544244,-1.0,234.10873,-0.008234576,-19.543
0.090873525,1.0,-883.0995,-0.40233684,-0.007665486,1.0,-1045.717,-0.49260393,-19.544823
0.10088115,1.0,-380.1397,-0.10070194,-0.009079203,1.0,-422.608,-0.06042117,-19.550005
0.110890314,-1.0,-270.23993,-0.17745906,-0.010115928,-1.0,-603.5784,-0.1692671,-19.553776
0.12089582,-1.0,4340.8857,-0.2456098,-0.010587167,-1.0,4126.585,-0.08456668,-19.554214
0.13090527,1.0,666.24384,-0.43924892,-0.011655308,1.0,986.2688,-0.4519319,-19.557262
0.14091757,1.0,-509.32727,-0.21049102,-0.012786282,1.0,-642.9024,-0.12629461,-19.561724
0.15093784,1.0,254.45345,-0.013716527,-0.01388584,1.0,230.66254,-0.008229917,-19.565243
0.16094333,1.0,-30.013922,-0.11695068,-0.01542522,1.0,-120.19738,-0.07017041,-19.570457
0.17095573,-1.0,-433.31104,-0.20490675,-0.017404424,-1.0,-545.44714,-0.18573697,-19.576551
0.18096116,1.0,10585.205,-0.9374992,-0.018755307,1.0,10105.622,-0.68810296,-19.579882
0.19098732,1.0,1206.6531,-0.054710295,-0.021425663,1.0,909.5384,-0.095626004,-19.588615
0.20099738,-1.0,-670.91095,-0.20238112,-0.023656193,-1.0,-786.06506,-0.121428676,-19.596092
0.21102238,-1.0,265.32635,-0.07168966,-0.024849998,-1.0,441.28836,-0.10581425,-19.599485
0.2210436,1.0,-24.713093,-0.13583359,-0.026734954,1.0,-9.564763,-0.08150016,-19.604763
0.23107776,-1.0,-249.99467,-0.14559768,-0.029311059,-1.0,-424.11017,-0.15015654,-19.613245
0.24124631,-1.0,8800.179,-0.65799683,-0.030347785,-1.0,8253.925,-0.39479813,-19.616293
0.25125158,-1.0,685.8058,-0.04820561,-0.03185575,-1.0,685.53625,-0.028923366,-19.620377
0.26125705,-1.0,-99.43513,-0.03644693,-0.03245265,-1.0,147.56126,-0.021868156,-19.622921
0.27126792,1.0,201.22997,-0.01302688,-0.032798227,1.0,194.80127,-0.007816128,-19.624147
0.2812776,-1.0,8.677835,-7.874939e-05,-0.03418053,-1.0,-119.891174,-0.06284959,-19.62955
0.29129004,-1.0,328.96976,-0.034723666,-0.03361504,-1.0,394.79657,-0.020834198,-19.628042
0.3012955,-1.0,-589.1755,0.028645342,-0.03361504,-1.0,-516.3726,0.017187206,-19.628294
0.3113009,-1.0,-175.83864,0.0394114,-0.032892477,-1.0,-329.59598,0.02364684,-19.626944
0.32130635,-1.0,-15.353396,0.039121155,-0.031887166,-1.0,103.07438,0.08626938,-19.624807
0.3313118,-1.0,-329.43677,0.015155016,-0.030630529,-1.0,-283.8385,0.00909301,-19.62179
0.34131736,1.0,184.594,0.10588408,-0.028776988,1.0,275.83432,0.063530445,-19.617142
0.35134035,1.0,61.966217,0.07971526,-0.027803095,1.0,-416.02148,0.04782916,-19.615381
0.36135912,1.0,-4561.1133,0.37740052,-0.025949555,1.0,-4199.146,0.28924453,-19.610952
0.3713709,-1.0,-316.97452,0.011442538,-0.024787165,-1.0,-380.7509,-0.055928025,-19.608534
0.38137633,-1.0,-183.42343,0.0048345053,-0.022933627,-1.0,-137.5441,0.0029007033,-19.601622
0.3913941,1.0,-30.76466,0.13699201,-0.021331415,1.0,-30.307957,0.0821952,-19.597538
0.40139958,-1.0,205.56827,0.033818856,-0.020797344,-1.0,-626.77325,0.020291314,-19.597664
0.4114071,-1.0,711.38885,0.16049266,-0.018315485,-1.0,603.3346,0.15909605,-19.590752
0.4216186,1.0,-7655.5146,0.55783045,-0.016399113,1.0,-7081.4746,0.3974918,-19.58491
0.4316301,-1.0,-935.7879,0.014646788,-0.015362388,-1.0,-519.2203,0.07158727,-19.582771
0.44163555,-1.0,-319.46878,0.049666252,-0.012409291,-1.0,-474.0661,0.02979975,-19.574448
0.45164484,1.0,-542.1574,0.02124049,-0.010398672,1.0,-320.5346,0.07554287,-19.568226
0.46166113,1.0,-81.55862,0.080532774,-0.008922123,1.0,-506.85736,0.048319664,-19.565084
0.4716728,-1.0,-117.68324,0.04210242,-0.006848672,-1.0,-184.46762,0.08806442,-19.559965
0.48168623,-1.0,-10297.687,0.6447538,-0.0038641589,-1.0,-9509.528,0.44964394,-19.550665
0.49169582,-1.0,-926.5619,0.007873886,-0.0018221238,-1.0,-907.5754,0.13032022,-19.544004
0.5017182,1.0,-82.232834,0.11855086,0.0007539822,1.0,43.76586,0.071130514,-19.537094
0.5117307,-1.0,-936.05615,-0.12353671,0.0024190263,-1.0,-622.05963,-0.07412203,-19.53348
0.5217518,-1.0,-46.197193,0.11834343,0.005592035,-1.0,192.07083,0.13379584,-19.52305
0.53176194,1.0,742.85284,0.24071199,0.008607964,1.0,53.285343,0.1444272,-19.51504
0.54178286,1.0,-11528.581,0.8824434,0.010964158,1.0,-10832.676,0.5922634,-19.508127
0.55179566,1.0,-779.20795,0.18890043,0.01372876,1.0,-91.01312,0.17613882,-19.50018
0.5618357,-1.0,-151.02692,0.11709645,0.015707964,-1.0,-72.981544,0.13305518,-19.493834
0.5718625,1.0,261.7066,0.1418433,0.018346902,1.0,117.62264,0.08510598,-19.48441
0.5818932,-1.0,60.30576,0.15107676,0.019540707,-1.0,-55.75619,0.09064606,-19.481518
0.5919112,1.0,-174.63829,0.14092314,0.021802653,1.0,-264.54532,0.021750296,-19.472252
0.6022305,-1.0,-5386.328,0.45206803,0.02337345,-1.0,-5035.0986,0.27124083,-19.468418
0.612244,1.0,-512.5755,0.10894013,0.025572564,1.0,-592.2252,0.12815763,-19.458994
0.62225693,1.0,338.07257,0.10189454,0.026892032,1.0,-41.774437,0.12393216,-19.45579
0.6322683,-1.0,67.57657,0.034761425,0.027677432,-1.0,93.93673,0.14644521,-19.450762
0.64228344,1.0,483.5455,0.21663447,0.030096458,1.0,34.663437,0.12998068,-19.443003
0.6522934,-1.0,452.17203,0.09769756,0.030033626,-1.0,482.93036,0.058618538,-19.442375
0.6622987,-1.0,-9829.084,0.78011924,0.032138493,-1.0,-9356.82,0.46807152,-19.433954
0.67231524,-1.0,-567.36566,0.13423139,0.0333323,-1.0,-336.48825,0.08053883,-19.428331
0.68232065,1.0,549.5611,0.17469712,0.034683183,1.0,438.37402,0.16761559,-19.42098
0.69233674,-1.0,281.55804,0.10239615,0.035908405,-1.0,345.98697,0.061437692,-19.417587
0.7023451,-1.0,-273.18762,0.08048626,0.03769911,-1.0,187.46239,0.17389266,-19.409105
0.71235555,-1.0,-42.360054,0.17706369,0.039929643,-1.0,-264.968,0.10623821,-19.401346
0.7223668,1.0,-16540.414,1.0356342,0.04209734,1.0,-15687.261,0.6841797,-19.389847
