time,p_iq,p_am,p_wm,p_thm,r_iq,r_am,r_wm,r_thm
3.21e-07,0.0,0.0,0.0,-0.09528451,0.0,0.0,0.0,-6.3251257
0.03504982,-1.0,299.03864,0.03941796,-0.09528451,-1.0,-216.61098,-0.06422936,-6.325094
0.07023339,-1.0,-1548.1844,-0.653643,-0.0946876,-1.0,72.022385,-0.06499789,-6.3250628
0.105300575,1.0,86.29898,-0.0040850462,-0.09418495,1.0,82.081314,-0.10619726,-6.3252826
0.14034653,-1.0,131.90688,-0.12794517,-0.09424778,-1.0,137.81323,-0.011473638,-6.325251
0.17538935,-1.0,52.38995,-0.30471537,-0.09459335,-1.0,192.99739,-0.07620556,-6.3250313
0.21043608,1.0,761.568,0.48229912,-0.09377654,1.0,13.101391,-0.029234257,-6.3251257
0.24603517,-1.0,-38.0322,0.060637794,-0.09286548,-1.0,-134.83922,-0.08418681,-6.325094
0.28108805,-1.0,259.95276,-0.15182096,-0.09440486,-1.0,-130.67986,-0.0618324,-6.324937
0.3161271,-1.0,-167.51546,-0.263651,-0.09767211,-1.0,-45.490726,-0.08943221,-6.325
0.35115936,-1.0,93.44556,-0.22258963,-0.10417521,-1.0,53.0166,-0.12396232,-6.3248744
0.38619465,1.0,-257.16965,-0.14746164,-0.11086681,1.0,19.340279,-0.02943771,-6.3247485
0.421532,-1.0,773.8669,-0.2097505,-0.11749557,-1.0,-219.62558,0.06223695,-6.324717
0.45657924,1.0,1890.5122,0.684433,-0.12139114,1.0,18.406649,-0.06054987,-6.3248115
0.49163246,1.0,181.64377,-0.19337682,-0.12509821,1.0,21.304344,-0.062571175,-6.3248744
0.52668554,-1.0,13.264723,-0.101541065,-0.12758008,-1.0,-59.222874,-0.11748524,-6.3251257
0.56175375,-1.0,56.13869,-0.13977206,-0.13069026,-1.0,45.00961,-0.030406905,-6.325314
0.59678954,1.0,56.69691,-0.121139534,-0.13540265,1.0,309.7598,0.06999351,-6.325157
0.63188195,1.0,54.319603,-0.10289048,-0.14014645,1.0,-0.66770005,-0.09295924,-6.3251886
0.66693366,1.0,93.618546,-0.067581385,-0.14193715,1.0,53.08388,-0.06438766,-6.3251886
0.70198804,1.0,-458.78687,0.20028421,-0.14441901,1.0,-30.794857,0.00087499496,-6.3251257
0.7370534,1.0,-16.84411,0.101443626,-0.14482743,1.0,137.51619,0.0815261,-6.325251
0.7721221,1.0,33.051315,0.092049845,-0.14331946,1.0,0.025252841,-2.30827e-07,-6.325314
0.8077176,-1.0,376.73383,-0.15127711,-0.14196858,-1.0,95.192444,0.12343229,-6.325094
0.84279513,1.0,-88.44246,0.09738241,-0.13954954,1.0,-131.04562,0.044270225,-6.325094
0.87783545,-1.0,117.250496,0.08252522,-0.13873273,-1.0,-8.229753,0.1008408,-6.3251886
0.91287017,-1.0,157.46901,-0.16824356,-0.13804159,-1.0,74.81709,0.08506818,-6.3252196
0.9479081,-1.0,478.34503,-0.19802459,-0.1370991,-1.0,-203.97125,-0.0125154285,-6.324906
0.9829407,-1.0,-97.78868,0.010401104,-0.13615662,-1.0,-115.16169,-0.086736165,-6.3250628
1.0179675,-1.0,89.29279,-0.09572173,-0.13537122,-1.0,-47.148415,-0.090849385,-6.324843
1.0530022,-1.0,8.972289,-0.017863005,-0.134146,-1.0,32.23905,-0.1234657,-6.3250313
1.0881892,-1.0,-1799.1194,-0.78820604,-0.1339261,-1.0,-60.719654,-0.08537945,-6.324843
1.1232309,1.0,-17.4704,0.033509813,-0.13204114,1.0,-176.89993,-0.06289046,-6.32478
1.1582867,1.0,-77.34872,0.109527685,-0.12955928,1.0,48.128994,0.052135054,-6.324906
1.1933274,-1.0,77.50519,0.09172507,-0.12754866,-1.0,-17.73444,0.10155503,-6.325157
1.2283784,1.0,-61.923573,0.19663116,-0.12330751,1.0,39.99811,-0.0013738312,-6.3252196
1.2634479,1.0,48.276318,0.11822433,-0.119066365,1.0,-37.18073,0.014045578,-6.325377
1.2985005,-1.0,189.23247,0.08090444,-0.11466813,-1.0,23.889683,-0.0007088411,-6.3253455
1.3335506,-1.0,-1700.2097,-0.7029852,-0.11114955,-1.0,-4.5962043,-0.11816124,-6.3250628
1.3685942,-1.0,-164.18541,0.13868451,-0.10621725,-1.0,-133.90405,0.018967927,-6.3249683
1.4036314,1.0,109.12282,0.2802607,-0.10115928,1.0,60.648212,0.10029509,-6.325157
1.438672,1.0,-135.40347,0.3356792,-0.09578716,1.0,-154.25136,-0.033972584,-6.32544
1.473746,1.0,840.7088,0.532388,-0.09176592,1.0,4.2150083,-7.067387e-05,-6.325377
1.5088046,1.0,-6.0177693,0.16108596,-0.08743052,1.0,86.306,-0.004085106,-6.325094
1.5439652,-1.0,52.897934,-0.017568007,-0.08089601,-1.0,-0.00015041437,9.504252e-10,-6.325
1.5790195,1.0,50.918186,0.21113192,-0.07373318,1.0,110.083824,-0.018185038,-6.325
1.6140611,-1.0,23.67682,0.11894442,-0.06710442,-1.0,-57.46742,0.03764824,-6.3250313
1.6491147,1.0,-459.2815,0.18491428,-0.059658844,1.0,-127.4838,-0.08174212,-6.3248744
1.6841887,-1.0,-37.118927,0.14293571,-0.053155746,-1.0,89.212,-0.05010648,-6.3250628
1.7192302,1.0,15.800456,0.13501863,-0.04724955,1.0,98.7223,0.04965397,-6.3248115
1.75429,-1.0,110.830734,0.15115328,-0.04278849,-1.0,-24.113857,-0.055308226,-6.3250313
1.7898326,1.0,-42.505733,0.2827979,-0.038515925,1.0,87.035225,0.12032407,-6.324906
1.8248627,1.0,-678.4162,0.3538665,-0.03556283,1.0,-31.679989,0.0023856526,-6.324937
1.8598982,-1.0,-64.57913,0.035742894,-0.030410618,-1.0,-29.290709,0.0010533545,-6.324937
1.8949455,-1.0,152.58775,0.22715616,-0.024158847,-1.0,139.0742,-0.13018017,-6.3251257
1.9299735,1.0,-36.940083,0.16049634,-0.018912388,1.0,-101.01695,0.010455223,-6.3249683
1.9650154,1.0,-124.70711,0.13192141,-0.014137167,1.0,-25.690596,0.03036688,-6.325094
2.000063,-1.0,-71.50292,0.16920912,-0.008168141,-1.0,0.40297282,-4.9803803e-06,-6.325094
2.0351028,1.0,-462.29843,0.15269552,-0.0018849556,1.0,5.50582,-0.16656,-6.3252196
2.0703106,-1.0,-84.08466,0.10574132,0.0033929201,-1.0,81.13288,-0.003950984,-6.3252826
2.1053562,-1.0,-60.5911,0.0023715878,0.00694292,-1.0,95.70967,-0.017667627,-6.3251886
2.1404037,-1.0,256.9502,0.13813858,0.008545132,-1.0,-44.232864,0.016019149,-6.325
2.1760962,1.0,-60.254498,0.03712547,0.006880088,1.0,-10.519936,0.013602743,-6.324906
2.2111368,1.0,-625.8933,0.25850585,0.0070057516,1.0,38.53319,-0.001352057,-6.3246856
2.2461817,-1.0,-73.238556,0.031612515,0.008702212,-1.0,-0.1663207,1.826634e-06,-6.3247485
2.2815971,-1.0,-58.955597,-0.092078954,0.008388053,-1.0,-101.87665,-0.111738645,-6.3246856
2.316648,-1.0,187.71411,-0.33049887,0.006723008,-1.0,-24.291643,-0.099775486,-6.324623
2.3516939,-1.0,-2251.1816,-0.988316,0.0038641589,-1.0,88.81068,-0.0062505263,-6.3246856
2.38701,-1.0,-88.90843,-0.1678877,-0.00021991148,-1.0,-5.6607533,-0.028798461,-6.324906
2.4220526,1.0,299.3367,0.08844228,-0.006000442,1.0,110.24036,-0.0024090894,-6.3249683
2.4570954,-1.0,-15.703214,-0.313016,-0.0142314145,-1.0,-75.39877,0.005944671,-6.3248115
2.4924002,1.0,-126.144554,-0.26241747,-0.022807963,1.0,-69.85088,0.031542584,-6.324623
2.5274444,1.0,-35.43874,-0.23472027,-0.03138451,1.0,59.471455,-0.0023539143,-6.3248744
2.562474,1.0,-548.34503,-0.42175254,-0.042065926,1.0,161.46436,-0.013882532,-6.324906
2.5975182,1.0,1777.7366,0.48078525,-0.053658403,1.0,0.6211947,-8.1810285e-06,-6.324843
2.6328504,-1.0,-1.6186726,-0.31368363,-0.06487389,-1.0,-12.6940365,0.00029585726,-6.32478
2.6679077,-1.0,120.859184,-0.24272254,-0.07345044,-1.0,-115.16309,0.072087005,-6.32478
2.7029622,-1.0,-121.292854,-0.53210557,-0.08193274,-1.0,114.09871,0.081401095,-6.324843
2.7384639,-1.0,-676.5217,-0.5249563,-0.09010088,-1.0,-146.97144,-0.04811508,-6.3248115
2.7735395,-1.0,-157.04076,-0.29275063,-0.0974522,-1.0,-279.341,-0.07373576,-6.3250628
2.8085759,-1.0,91.7444,-0.32844052,-0.10461503,-1.0,-158.84328,0.046074882,-6.3250628
2.8436337,-1.0,852.92224,-0.36198232,-0.10973583,-1.0,-1.9324652,0.05617263,-6.3251257
2.8786726,-1.0,0.16981123,-1.857315e-06,-0.11253185,-1.0,27.122795,-0.00081488094,-6.3252826
2.9137058,1.0,15.336264,0.022624884,-0.11451105,1.0,0.97665626,-0.028951421,-6.32544
2.9492052,-1.0,4.846014,-0.023169564,-0.11614468,-1.0,138.6866,0.0841303,-6.32544
2.9842637,-1.0,-1477.6018,-0.67848974,-0.1161761,-1.0,-32.366978,0.12352653,-6.325377
3.0193176,1.0,-88.60482,-0.04967031,-0.117275655,1.0,-131.49991,0.011222041,-6.325094
3.054348,-1.0,18.669344,-0.029428206,-0.115484945,-1.0,-30.034412,-0.11883739,-6.3252826
3.0894432,1.0,-533.9582,0.21993795,-0.11422831,1.0,-26.227293,-0.14976256,-6.3252196
3.124518,-1.0,-113.19236,-0.17951584,-0.11375707,-1.0,125.03678,-0.018507117,-6.3250313
3.1595545,1.0,174.15643,0.030094752,-0.11306592,1.0,129.66916,-0.011298164,-6.3247485
3.1954741,1.0,53.787037,0.15296304,-0.10998716,1.0,95.82278,0.087229855,-6.3247485
3.2305503,-1.0,-24.222769,0.122755915,-0.10763096,-1.0,-79.11634,0.06514268,-6.324843
3.265609,-1.0,-19.590412,0.029472757,-0.10342123,-1.0,-100.32157,0.06589883,-6.324717
3.3006823,1.0,-173.94443,0.26044926,-0.09808052,1.0,4.681511,-0.02905035,-6.325
3.335722,-1.0,101.32282,0.049597874,-0.094813265,-1.0,50.500034,0.03090549,-6.3251257
3.3707867,-1.0,-321.14737,-0.2046927,-0.09264557,-1.0,-0.003798996,3.208991e-08,-6.324906
3.405854,-1.0,-295.91678,-0.073241346,-0.09195442,-1.0,-57.534897,0.0023153492,-6.324843
3.4418557,-1.0,-46.21292,-0.05152861,-0.09358805,-1.0,-107.875046,-0.08075462,-6.3250313
3.4769926,-1.0,72.67508,-0.15812942,-0.09701238,-1.0,114.329445,0.049042244,-6.324843
3.512038,-1.0,-81.79705,-0.27820978,-0.10342123,-1.0,-81.293724,-0.08594696,-6.3245287
3.547095,-1.0,119.57519,-0.30896834,-0.11127521,-1.0,-131.80669,-0.081629746,-6.3244658
3.5830066,-1.0,86.08423,-0.20995443,-0.11853229,-1.0,-84.57331,0.017398981,-6.324623
3.6180418,1.0,-157.32843,-0.082158834,-0.124218576,1.0,33.09747,0.092053115,-6.3245916
3.6530948,1.0,-60.129868,-0.18150067,-0.1288053,1.0,-70.458824,-0.10005119,-6.3246856
3.6883104,1.0,178.89334,0.07937246,-0.13273229,1.0,38.642323,-0.0013522562,-6.324937
3.723357,-1.0,-35.66,-0.118561685,-0.1363137,-1.0,-31.321657,-0.031401176,-6.3250313
3.7584093,1.0,158.80302,0.09429707,-0.13876414,1.0,349.56232,0.039944157,-6.3251886
3.7934606,-1.0,-85.42549,0.0038335107,-0.14080618,-1.0,-16.923895,-0.038071122,-6.325314
3.8286068,1.0,-440.36,-0.09869466,-0.14328805,1.0,80.94958,0.021797474,-6.3251886
3.8636684,1.0,579.2458,0.3707172,-0.14699513,1.0,7.084655,0.061249208,-6.3252826
3.8987086,-1.0,179.09563,-0.07746685,-0.1489429,-1.0,-51.015305,-0.052475955,-6.325251
3.9344275,1.0,-89.84748,0.07153943,-0.14975972,1.0,-89.87089,-0.049874395,-6.3251886
3.9694629,-1.0,3.6561396,-0.09486826,-0.15283848,-1.0,222.71425,0.04426993,-6.3251886
4.0045104,1.0,495.66675,0.094992466,-0.15657698,1.0,-96.64744,-0.050298233,-6.3250628
