time,p_iq,p_am,p_wm,p_thm,r_iq,r_am,r_wm,r_thm
2.77e-07,0.0,0.0,0.0,-0.022022564,0.0,0.0,0.0,-0.28129822
0.0350336,0.0,0.0,0.0,-0.022022564,0.0,0.0,0.0,-0.28129822
0.07022232,-1.0,-1.0347812,-0.13767011,-0.025038494,-1.0,-3.6444612,0.0020083857,-0.28129822
0.105242565,1.0,5.7539988,-0.00283139,-0.026672121,1.0,-4.7723775,-0.018852537,-0.28114113
0.14027308,1.0,8.048433,0.17485741,-0.02353053,1.0,-14.967661,-0.02890035,-0.28123537
0.17529185,1.0,5.723602,0.3030737,-0.015142476,1.0,-7.038837,-0.0168122,-0.28142387
0.2103182,-1.0,4.895502,0.16565204,-0.0076026544,-1.0,11.95569,0.0126333805,-0.28173804
0.245356,-1.0,-5.724925,0.002825655,-0.0045867255,-1.0,-0.019631665,2.055189e-06,-0.28161237
0.28038067,1.0,8.804741,0.13069472,-0.0014137167,1.0,3.6393533,-0.012080917,-0.28142387
0.31576592,1.0,0.5247939,0.2751079,0.0058433623,1.0,-0.9937096,0.00021756437,-0.28139246
0.35078907,-1.0,-0.8643543,0.11648359,0.011812388,-1.0,7.466465,0.015055078,-0.2816752
0.38582438,-1.0,-9.708901,-0.055693828,0.013100442,-1.0,-0.017464692,1.8225375e-06,-0.2814867
0.42085388,1.0,1.0437201,0.08461806,0.014388494,1.0,4.077535,-0.0108322855,-0.28117254
0.45587534,1.0,-2.420046,0.21138196,0.019540707,1.0,-0.47228375,8.563571e-05,-0.28114113
0.49130696,1.0,65.072624,0.39381832,0.029279644,1.0,-1.0000196,-0.009972044,-0.28139246
0.5263327,1.0,21.902311,0.49685067,0.043919466,1.0,5.611,-0.0048576356,-0.2814867
0.56136584,-1.0,6.3368273,0.34413812,0.057648227,-1.0,1.7007641,-0.00042692115,-0.2817066
0.59639406,1.0,-11.324266,0.43176123,0.07187964,1.0,-10.895124,-0.024958903,-0.28158095
0.63142407,1.0,4.567808,0.56692517,0.089661054,1.0,0.0063777245,-5.79717e-07,-0.2817066
0.6664535,-1.0,8.155555,0.42801693,0.10640574,-1.0,15.415566,0.019328367,-0.28180087
0.7017514,-1.0,-12.7923765,0.23087515,0.11799822,-1.0,3.816124,-0.0054604793,-0.28176945
0.7367801,1.0,-12.64049,0.33643946,0.12886813,1.0,0.7555576,-0.003490634,-0.28129822
0.77183855,-1.0,-3.5776112,0.1883658,0.13757034,-1.0,1.2455909,-0.0003525543,-0.28139246
0.80686915,-1.0,-9.906997,0.0090899775,0.1410575,-1.0,-2.5683267,0.00091960613,-0.28114113
0.8418981,-1.0,-16.519861,-0.16462104,0.13854423,-1.0,-1.176486,0.00030239235,-0.28095263
0.87692827,-1.0,1.5293875,-0.30166593,0.1303761,-1.0,5.7911067,0.022671163,-0.2805128
0.9119603,1.0,1.1155705,-0.18846212,0.12173671,1.0,-2.022292,0.000537241,-0.28035572
0.94700235,-1.0,-0.48836148,-0.34041524,0.11180928,-1.0,3.4023728,-0.0016551289,-0.2804814
0.98203146,-1.0,4.047799,-0.4640885,0.09767211,-1.0,-0.015859919,1.639782e-06,-0.28035572
1.0170672,-1.0,-14.887341,-0.64106584,0.07825708,-1.0,-4.1395664,0.0033791554,-0.28023008
1.0520958,-1.0,-13.926283,-0.7899316,0.05353274,-1.0,-4.197606,0.00331595,-0.28019866
1.087114,-1.0,-7.3665543,-0.9359647,0.02359336,-1.0,0.00113472,-8.830872e-08,-0.28023008
1.1221315,-1.0,10.268042,-1.0428604,-0.011372565,-1.0,3.0504067,-0.0013754305,-0.28019866
1.1571618,1.0,-13.35583,-0.95267755,-0.0459615,1.0,-9.334563,-0.02154063,-0.280073
1.1921879,1.0,-0.02577001,-0.759511,-0.07539822,1.0,-3.8626425,0.002692439,-0.2802929
1.227249,1.0,12.247518,-0.5653503,-0.09877168,1.0,0.2926167,-4.281809e-05,-0.2806699
1.2622933,-1.0,-0.7563624,-0.6753719,-0.12126548,-1.0,6.4229302,-0.01075232,-0.28123537
1.297755,-1.0,-15.301524,-0.81523955,-0.14727786,-1.0,-12.891319,-0.021952864,-0.28136104
1.3327905,1.0,6.3761992,-0.63497865,-0.1724106,1.0,-1.3474066,0.00047717002,-0.28120396
