time,p_iq,p_am,p_wm,p_thm,r_iq,r_am,r_wm,r_thm
2.29e-07,0.0,0.0,0.0,-0.052935835,0.0,0.0,0.0,-6.3276076
0.03505091,-1.0,-107.27457,0.04319384,-0.05290442,-1.0,4477.4565,0.7505482,-6.32811
0.07010774,-1.0,54.494267,-0.06654136,-0.052715924,-1.0,-446.49844,-0.61723804,-6.3359013
0.10512992,-1.0,-19.50435,0.0005008145,-0.052621678,-1.0,-293.6656,0.043505795,-6.3371263
0.1404973,1.0,23.20246,-0.029536653,-0.052778758,1.0,1060.3633,0.34517723,-6.337252
0.17553349,1.0,82.24725,-0.017361995,-0.052715924,1.0,63.760387,0.1540015,-6.3326654
0.2105587,1.0,23.127361,0.09955813,-0.052715924,1.0,-1023.45514,0.49425897,-6.321073
0.24557786,1.0,68.00234,0.11309268,-0.05274734,1.0,1881.8485,1.353311,-6.3048935
0.28059578,-1.0,41.79471,-0.0017101332,-0.053030085,-1.0,290.95218,0.6424422,-6.292233
0.31590897,-1.0,10.103894,-0.029138913,-0.05312433,-1.0,-4692.0117,-2.9465292,-6.2750173
0.35096568,1.0,3.5765624,-6.2986604e-05,-0.053092916,1.0,150.11829,0.26670295,-6.2589636
0.38601533,-1.0,-102.958244,-0.04957858,-0.053155746,-1.0,252.99687,0.33652943,-6.242627
0.42105916,-1.0,135.80795,0.08156971,-0.05312433,-1.0,3560.4438,-1.1383799,-6.2273593
0.45610246,1.0,135.62364,-0.019613264,-0.053187165,1.0,2438.5466,1.6535983,-6.2049284
0.49131167,-1.0,47.290398,-0.0019373017,-0.053375658,-1.0,95.52431,0.49475446,-6.1780677
0.5263556,-1.0,-198.09477,-0.07909733,-0.053187165,-1.0,716.4111,0.6075304,-6.1545057
0.5614107,-1.0,31.426695,0.0024636446,-0.05321858,-1.0,-2283.8525,-2.49128,-6.1306295
0.5964757,-1.0,-0.9011211,1.2947162e-05,-0.053407077,-1.0,107.676094,0.7119199,-6.1049314
0.6315234,-1.0,80.00465,-0.003933653,-0.053375658,-1.0,-300.93005,0.5267756,-6.078385
0.6665922,-1.0,-27.055344,0.0008069281,-0.053187165,-1.0,4875.2046,0.27178985,-6.0537233
0.70166135,1.0,-52.619556,-0.054478172,-0.053187165,1.0,5114.4854,3.488648,-6.029502
0.73670787,-1.0,-91.68629,0.01755242,-0.05321858,-1.0,-220.70673,1.0035638,-6.006505
0.7717563,-1.0,58.23611,0.051184468,-0.05290442,-1.0,-445.78784,0.6463396,-5.991583
0.8067945,1.0,78.22122,-0.017294405,-0.05290442,1.0,158.58092,0.5741908,-5.975529
0.84183395,-1.0,19.984568,-0.029446166,-0.05312433,-1.0,-150.1258,0.45523146,-5.9643135
0.87686795,-1.0,141.34306,0.048228577,-0.05296725,-1.0,1457.1768,1.3731476,-5.9430766
0.911895,-1.0,52.63235,0.054483633,-0.053092916,-1.0,182.76257,0.67516077,-5.9293475
0.9469441,-1.0,31.281443,-0.0008835167,-0.053092916,-1.0,-183.34518,0.10313876,-5.915336
0.9819819,-1.0,123.18652,0.048717286,-0.05296725,-1.0,-759.4101,0.74666345,-5.895136
1.0170249,-1.0,11.531994,-0.000278646,-0.05284159,-1.0,-59.912624,0.032457538,-5.8848314
1.0525745,1.0,95.866516,-0.017669706,-0.053030085,1.0,-3187.8132,2.0222507,-5.86705
1.0876195,1.0,180.12144,0.0349101,-0.05284159,1.0,-7.718192,0.16028246,-5.85307
1.1226734,-1.0,30.607162,0.028067352,-0.053249996,-1.0,910.63617,1.0282042,-5.838493
1.1577135,-1.0,42.158485,0.08790767,-0.053187165,-1.0,82.93396,0.18884157,-5.833372
1.1927435,1.0,37.68589,-0.0013412149,-0.05290442,1.0,2295.157,3.373518,-5.828377
1.2286384,1.0,99.47274,0.05025471,-0.05299867,1.0,272.1535,-0.027115816,-5.83089
1.2636809,1.0,23.697752,-0.00057373923,-0.053155746,1.0,1960.0315,0.8595946,-5.829979
1.2987057,-1.0,36.96416,0.054821666,-0.052873004,-1.0,5303.6396,-0.051427867,-5.8346286
1.3337438,1.0,135.78499,0.048337776,-0.05290442,1.0,6129.1943,3.577965,-5.8336864
1.3687762,-1.0,-91.17681,0.0062884986,-0.05296725,-1.0,-58.17516,0.38631138,-5.8245444
1.4037968,1.0,-65.73162,0.063409396,-0.053092916,1.0,-7.4409046,0.61477387,-5.813046
1.4388219,-1.0,19.36448,0.11739407,-0.05299867,-1.0,2999.3557,-1.2628834,-5.802176
1.4738684,1.0,-117.952934,0.01833013,-0.053187165,1.0,-53.914257,0.6620857,-5.784206
1.5093656,-1.0,34.3916,0.054966554,-0.053438492,-1.0,963.49054,1.799887,-5.764383
1.5444062,1.0,74.404205,0.12106373,-0.053721234,1.0,68.69005,1.3054152,-5.7386847
1.579449,1.0,0.0024118843,-1.8117634e-08,-0.0538469,1.0,420.70358,1.2034236,-5.702713
1.6144782,1.0,98.84558,-0.0104195615,-0.05406681,1.0,155.87538,0.83343697,-5.6649513
1.6495365,-1.0,-106.21126,-0.1235163,-0.05397256,-1.0,-1921.3987,0.32086626,-5.621566
1.6846069,-1.0,-6.4903874,0.06805349,-0.05406681,-1.0,2926.8386,-0.60187304,-5.583301
1.7196287,-1.0,130.13919,0.081670925,-0.054255307,-1.0,-389.0047,0.8784509,-5.5454135
1.7546785,-1.0,40.44667,0.11484771,-0.054192472,-1.0,372.7413,1.7220713,-5.50583
1.7897217,-1.0,14.061189,-0.00031289607,-0.054506633,-1.0,302.91638,1.0923637,-5.4776497
1.8249433,1.0,-6.7092924,-0.09626607,-0.054318137,1.0,2971.3542,4.354938,-5.4468303
1.859976,1.0,14.123913,-0.00031631868,-0.054161057,1.0,-796.3165,0.905719,-5.422326
1.8950342,-1.0,31.347652,0.031402018,-0.05390973,-1.0,151.06645,0.93597496,-5.399173
1.9300774,1.0,-10.098398,0.029190887,-0.053878315,1.0,-5213.644,0.6393194,-5.371589
1.9651096,-1.0,141.38593,0.048227977,-0.05381548,-1.0,165.55325,0.87231874,-5.3438807
2.0001655,1.0,20.104977,-0.06109059,-0.05375265,1.0,243.0651,0.6141958,-5.3117733
2.0358396,1.0,6.7050815,-0.15715064,-0.05381548,1.0,897.40247,0.8875544,-5.271247
2.0708897,1.0,-5.405237,0.000104326704,-0.05353274,1.0,13.017803,1.3301821,-5.2253795
2.1059313,-1.0,0.0074436828,0.028941518,-0.053469907,-1.0,-1076.4327,0.8994905,-5.180235
2.1410308,-1.0,131.40878,0.08164176,-0.053438492,-1.0,-25.700493,0.9133248,-5.140274
2.1760573,-1.0,10.91633,-0.013609995,-0.053375658,-1.0,3673.0151,1.5622863,-5.1035485
2.2110932,1.0,-80.020546,0.003934015,-0.053375658,1.0,5334.3994,4.5396786,-5.074489
2.2461405,-1.0,131.73218,0.08164656,-0.053375658,-1.0,-70.243126,1.4495026,-5.0382977
2.28116,-1.0,-5.405019,0.00010432523,-0.053438492,-1.0,-1716.9457,0.79957795,-5.0040545
2.31642,-1.0,153.76366,0.13699967,-0.053438492,-1.0,221.44917,1.320183,-4.9655385
2.351452,-1.0,-76.79593,0.01725736,-0.053469907,-1.0,250.43503,1.082312,-4.9301014
2.3865068,1.0,90.653625,-0.006314019,-0.053438492,1.0,361.8628,1.0907116,-4.8946958
2.422388,-1.0,-68.268196,-0.08409235,-0.053564154,-1.0,308.4994,0.6406998,-4.8643165
2.4574213,1.0,-178.48611,-0.08126984,-0.053658403,1.0,2400.5952,3.9824982,-4.8310785
