time,p_iq,p_am,p_wm,p_thm,r_iq,r_am,r_wm,r_thm
2.35e-07,0.0,0.0,0.0,-0.030068183,0.0,0.0,0.0,-0.0018551105
0.40081537,0.027127882,-1.4150583,-0.004291686,-0.029656634,0.027127882,12.192562,0.7848587,0.31068152
0.8016709,0.116870426,-2.971627,-0.010185363,-0.028131392,0.116870426,-4.2899857,-2.6205146,-0.12228649
1.2025876,0.23710413,-0.5018994,-0.002430443,-0.030294377,0.23710413,4.68804,0.20213975,-0.74604183
1.603426,-0.075315505,-14.143693,-0.0090291565,-0.029777586,-0.075315505,94.97753,1.8984922,0.026086215
2.0042493,0.06058086,-3.706857,-0.0012452698,-0.028454976,0.06058086,10.7037115,1.383787,0.80656624
2.4048166,0.04649784,-0.5920934,0.017540183,-0.029633073,0.04649784,-13.456153,3.4541757,1.8854158
2.805306,-0.054972712,6.91942,0.010545445,-0.028745573,-0.054972712,73.072464,1.4073225,2.4124117
3.2058356,-0.4876707,-1.246177,-0.0005372543,-0.028853958,-0.4876707,-4.638505,-1.6768519,2.360013
3.6073482,0.16313334,15.117826,0.022430189,-0.02915398,0.16313334,-90.56209,-1.9024528,1.3962337
4.0089417,0.33158746,0.37607503,1.1747422e-05,-0.030167144,0.33158746,-1.1405538,2.6738179,1.4170405
4.410406,-0.33784816,3.1897635,0.012463896,-0.02895606,-0.33784816,5.780878,1.6760767,2.3012104
4.810925,0.49847773,1.1875896,-0.0009262286,-0.029725749,0.49847773,27.139416,2.63747,2.8461745
5.2130814,-0.24492003,0.16745624,0.014902738,-0.028373294,-0.24492003,-10.477468,-0.039129883,3.7876785
5.6141896,-0.44166422,4.766051,-0.0018703773,-0.02866075,-0.44166422,-12.874256,-0.37155724,3.861633
6.015352,0.08232844,1.1281282,-0.0018829122,-0.028158095,0.08232844,17.31534,-2.5412107,3.0442173
6.417684,0.14703889,-6.900596,0.005753179,-0.03047659,0.14703889,-94.95466,-0.022409568,2.289255
6.819225,0.34244242,-10.627951,-0.019544315,-0.029656634,0.34244242,-43.395462,2.1932876,2.9327757
7.2207613,0.17590813,-3.0929193,0.0019732243,-0.028734578,0.17590813,19.082104,1.3004341,3.4375935
7.621511,-0.28572533,1.8729448,0.017963963,-0.02994252,-0.28572533,-27.470236,2.248501,4.366902
8.022549,-0.65350777,0.38237527,-0.004093748,-0.028651325,-0.65350777,7.620229,0.0591435,4.5591593
8.4239235,-0.3005164,-1.7187787,0.0023129927,-0.028469112,-0.3005164,-17.506117,-2.946022,4.1284313
8.824447,0.29080763,2.539314,-0.0018496974,-0.029364467,0.29080763,53.20649,-2.478274,2.9449713
9.225487,-0.07270369,1.9534724,-0.0026600366,-0.030943116,-0.07270369,-17.848455,2.0592508,2.9899716
9.626135,-0.17304827,-2.914948,-0.0101291,-0.028667033,-0.17304827,-0.3487857,0.60804886,3.6173587
10.028981,0.73464066,-0.24526408,-0.0054109534,-0.02996294,0.73464066,10.958707,2.890545,4.061922
10.431436,0.2810148,9.285544,0.0373306,-0.027864356,0.2810148,12.715138,-0.5710764,4.669335
10.832553,-0.31145307,-1.4512297,0.0034809937,-0.028934069,-0.31145307,-54.96229,-1.0513949,4.589259
11.233509,-0.29368508,7.5556455,-0.032380268,-0.028360728,-0.29368508,9.366449,-2.803717,3.5567448
11.634517,0.506203,-1.6770724,-0.004492738,-0.030874003,0.506203,-4.5606103,0.2656455,2.8279219
12.035944,-0.23732306,14.878874,0.012624546,-0.029482277,-0.23732306,-58.80366,1.7743337,3.476733
12.437511,-0.05721666,-8.593179,-0.011414085,-0.028828826,-0.05721666,-30.346067,1.0826297,3.8512375
12.839918,-0.4075342,2.1321936,0.018633345,-0.029480705,-0.4075342,-14.283359,1.2978368,4.7230344
13.24342,-0.39243662,-0.62804836,0.0003213265,-0.028803693,-0.39243662,-27.710968,-0.87806135,4.7164903
13.645271,-0.07070551,-0.0449914,-0.022432761,-0.02830889,-0.07070551,221.6375,-3.4793828,4.0807137
14.047595,0.22833699,1.7441084,-0.006711458,-0.029617365,0.22833699,26.184093,-1.9580016,2.8588243
14.448707,-0.47894815,0.95074755,0.006665905,-0.030647807,-0.47894815,-33.27254,1.276981,3.029177
14.849515,0.16754737,1.9145325,-0.0052212253,-0.028371723,0.16754737,-152.1621,0.47739333,3.5191288
15.25054,-0.123080574,8.171038,-0.0019177851,-0.030487586,-0.123080574,67.18366,3.0700097,4.0423126
15.6529665,0.55456746,-1.9020866,0.0026903911,-0.027696282,0.55456746,5.0035563,-0.11113948,4.4080377
16.054346,-0.0146102365,-3.952751,-0.008118466,-0.028803693,-0.0146102365,16.293238,-1.5147693,4.21376
16.455173,0.041081335,6.503132,0.017523192,-0.028531944,0.041081335,4.7942963,-3.2068255,3.0240076
16.856003,0.41659337,2.3594167,0.0046746605,-0.03078918,0.41659337,11.893188,0.7759671,2.4073443
17.258844,0.12464472,-13.8151245,-0.003954578,-0.02905502,0.12464472,-62.273636,1.2722857,3.0223064
17.660824,0.30960014,9.891705,0.009175898,-0.029164976,0.30960014,3.943261,0.9300336,3.2879531
18.063223,-0.14942154,-0.5786742,0.010886469,-0.029070728,-0.14942154,-8.771428,0.38219833,4.0810876
18.465582,0.15888762,9.137078,0.0041644042,-0.028291613,0.15888762,20.863182,-0.6304464,3.9462583
18.866943,-0.05822435,6.519231,0.003038617,-0.028012011,-0.05822435,-10.07673,-3.7557642,3.1436598
19.26777,0.43290207,-0.7600905,-0.004039744,-0.03029595,0.43290207,20.093529,-1.3007993,1.9953967
19.669727,0.19445139,0.6834074,0.009131878,-0.029868692,0.19445139,54.62826,1.2685004,2.286272
20.071512,0.110607855,3.4469995,-0.003606262,-0.02848325,0.110607855,2.9864295,0.1429318,2.7030656
20.473036,-0.1867097,4.9774547,-0.0032210853,-0.03047502,-0.1867097,33.86506,2.6274848,3.3574579
20.874487,0.12185366,-1.8988343,-0.017351098,-0.02732086,0.12185366,7.7371616,0.5246296,3.5924003
21.276447,-0.4568908,0.70248276,-0.00823853,-0.028882232,-0.4568908,-28.064804,-2.1757214,3.278877
21.67799,-0.034114584,-8.985489,-0.024619082,-0.029380174,-0.034114584,-17.03194,-3.0384324,2.0177963
22.080517,0.3338037,0.33651832,0.0067050005,-0.030131016,0.3338037,32.866455,1.5717607,1.6053836
22.481241,-0.2848778,-5.546665,-0.027113754,-0.028822541,-0.2848778,-18.51776,1.2535554,2.2348316
22.88208,0.41628787,2.0436954,0.00039690087,-0.029329909,0.41628787,7.158871,1.7089622,2.5109258
