,time,iq,wm,thm
0,1.91e-07,0.0,-3.2579632,-7.0276237
1,0.005009179,-1.0,-3.1685045,-7.0187073
2,0.010011697,-1.0,0.33561468,-7.003037
3,0.015014202,-1.0,0.6581292,-6.8830023
4,0.020019941,1.0,4.462495,-6.822785
5,0.025035802,-1.0,0.9712248,-6.6910634
6,0.03004292,1.0,0.29980898,-6.618248
7,0.035049267,1.0,1.0362029,-6.4663887
8,0.040058788,1.0,-0.39583492,-6.424267
9,0.04506125,-1.0,5.691381,-6.3228617
10,0.05006373,1.0,2.1844988,-6.2025766
11,0.055066276,-1.0,64.62987,-6.0857153
12,0.060074992,1.0,60.96974,-6.05195
13,0.06508826,1.0,31.72844,-5.917464
14,0.070090726,1.0,28.024834,-5.679652
15,0.0750931,1.0,10.834007,-5.483812
16,0.08009557,1.0,21.453274,-5.1392474
17,0.08509935,1.0,10.917036,-4.83986
18,0.09010388,-1.0,10.564756,-4.5693436
19,0.09511322,-1.0,14.6718025,-4.2468653
20,0.100124344,1.0,14.43908,-3.7967124
21,0.10513103,1.0,5.4266186,-3.44307
22,0.11013361,1.0,1.2629285,-3.3012013
23,0.11513788,-1.0,109.81347,-3.144034
24,0.12014887,-1.0,160.5728,-2.943983
25,0.12515147,-1.0,71.7282,-2.5974092
26,0.13015823,-1.0,20.201548,-2.3870535
27,0.13516808,1.0,9.764698,-2.1983447
28,0.14017324,1.0,4.948628,-2.0189657
29,0.14518175,-1.0,7.5864463,-1.8261099
30,0.15019281,-1.0,9.100596,-1.5754476
31,0.15520011,-1.0,9.210647,-1.3371019
32,0.16026907,1.0,16.581469,-0.9066148
33,0.16527143,-1.0,12.409157,-0.5302901
34,0.17029117,1.0,4.007107,-0.3545866
35,0.17530636,-1.0,88.89658,-0.22223854
36,0.18030879,-1.0,96.17503,-0.04458809
37,0.18532655,1.0,10.310371,0.08235836
38,0.19034204,-1.0,-8.624228,0.05806732
39,0.19534644,1.0,-10.256947,0.0011672974
40,0.2003586,1.0,-10.932059,-0.13945675
41,0.20536113,1.0,-14.127942,-0.33546638
42,0.2103652,1.0,-2.078886,-0.3895712
43,0.21536772,-1.0,-6.850457,-0.4776044
44,0.22037153,-1.0,-6.326955,-0.5624652
45,0.22538136,-1.0,-1.3639581,-0.5481453
46,0.23038788,-1.0,6.405498,-0.39446497
47,0.23539583,-1.0,301.51947,-0.047388077
48,0.24040632,-1.0,226.4982,0.29265213
49,0.24541175,-1.0,125.31147,0.80582523
50,0.25041637,1.0,39.43335,1.2115555
51,0.2554315,1.0,21.34692,1.5838594
52,0.2604348,-1.0,9.900166,1.8379765
53,0.26543733,-1.0,16.030983,2.066615
54,0.27043992,-1.0,13.129536,2.4001522
55,0.2754424,-1.0,12.162857,2.7213736
56,0.28044492,-1.0,7.056275,3.002698
57,0.28545162,1.0,14.237808,3.4080505
58,0.29045624,1.0,13.221062,3.8282642
59,0.29546815,1.0,565.27454,4.5147905
60,0.30087247,-1.0,106.473625,5.0508347
61,0.30587494,1.0,109.34035,5.539628
62,0.3108775,1.0,41.385365,6.0177097
63,0.31588003,1.0,35.72313,6.4308233
64,0.3208829,1.0,23.725025,6.908182
65,0.32588926,-1.0,28.677876,7.516671
66,0.33089486,-1.0,18.900318,8.146805
67,0.33590227,1.0,17.183954,8.641191
68,0.34090883,-1.0,17.567831,9.212547
69,0.34591132,1.0,27.830248,9.799044
70,0.35091668,-1.0,22.097956,10.4626045
71,0.35591924,1.0,705.45795,11.421321
72,0.36092877,-1.0,363.76962,12.017149
73,0.36593136,-1.0,204.03072,12.774578
74,0.37093583,1.0,53.98179,13.385706
75,0.37593836,1.0,33.726845,13.907647
76,0.38094753,1.0,36.66851,14.539978
77,0.38595438,1.0,32.295216,15.1652775
78,0.3909684,-1.0,25.975725,15.868294
79,0.39597124,1.0,36.784733,16.595695
80,0.4009738,-1.0,22.180967,17.282473
81,0.40597638,-1.0,22.485077,17.941288
82,0.41098186,-1.0,12.064197,18.438501
